funder_name,country,total_articles,open_data_articles,open_code_articles,open_data_pct,open_code_pct,funder_type,funder_id,is_alias_group,pdf_covered,xml_only,aggregated_works_count,corrected_od,corrected_pct,ci_lo_pct,ci_hi_pct
Fondation Méditerranée Infection,France,266,195,0,73.3,0.0,,F4320309715,False,2,264,409,195.0,73.3,73.3,73.3
Michigan Technology Tri-Corridor,USA,133,73,7,54.9,5.3,,F4320334038,False,4,129,437,73.0,54.9,54.9,54.9
Norwegian Sequencing Centre,Norway,172,94,16,54.7,9.3,,F4320316921,False,4,168,428,94.0,54.7,54.7,54.7
Center for Dark Energy Biosphere Investigations,USA,138,71,12,51.4,8.7,,F4320314327,False,0,138,365,71.0,51.4,51.4,51.4
Michigan Economic Development Corporation,USA,162,80,6,49.4,3.7,,F4320308158,False,1,161,821,80.0,49.4,49.4,49.4
Functional Genomics Center Zurich,Switzerland,159,78,19,49.1,11.9,,F4320336859,False,13,146,470,78.0,49.1,49.1,49.1
Oxford Nanopore Technologies,UK,260,124,54,47.7,20.8,,F4320312414,False,15,245,734,124.0,47.7,47.7,47.7
Canada's Michael Smith Genome Sciences Centre,Canada,122,57,16,46.7,13.1,,F4320314103,False,1,121,327,57.0,46.7,46.7,46.7
European Bioinformatics Institute,UK,515,239,126,46.4,24.5,,F4320313288,False,17,498,1395,239.0,46.4,46.4,46.4
China Ocean Mineral Resources Research and Development Association,China,159,71,4,44.7,2.5,,F4320326671,False,3,156,832,71.0,44.7,44.7,44.7
German Network for Bioinformatics Infrastructure,Germany,355,155,101,43.7,28.5,,F4320330124,False,17,338,960,155.0,43.7,43.7,43.7
"Genome Center, University of California, Davis",USA,136,59,27,43.4,19.9,,F4320337813,False,3,133,393,59.0,43.4,43.4,43.4
Joint Genome Institute,USA,1405,608,159,43.3,11.3,,F4320316170,False,32,1373,3928,608.0,43.3,43.3,43.3
Uppsala Multidisciplinary Center for Advanced Computational Science,Sweden,953,400,191,42.0,20.0,,F4320336376,False,76,877,2641,400.0,42.0,42.0,42.0
Korea National Arboretum,Korea,110,46,0,41.8,0.0,,F4320327354,False,5,105,552,46.0,41.8,41.8,41.8
"Institute of Oceanology, Chinese Academy of Sciences",China,113,47,3,41.6,2.7,,F4320335504,False,7,106,0,47.0,41.6,41.6,41.6
European Synchrotron Radiation Facility,France,2089,840,78,40.2,3.7,,F4320320887,False,61,2028,14418,840.0,40.2,40.2,40.2
Conseil Régional Provence-Alpes-Côte d'Azur,France,114,44,1,38.6,0.9,,F4320326210,False,1,113,624,44.0,38.6,38.6,38.6
Ontario Genomics,Canada,727,278,43,38.2,5.9,,F4320314024,False,25,702,1841,278.0,38.2,38.2,38.2
National Institute of Biological Resources,Korea,450,170,7,37.8,1.6,,F4320335066,False,10,440,2323,170.0,37.8,37.8,37.8
Diamond Light Source,UK,2024,764,75,37.7,3.7,,F4320313096,False,88,1936,6913,764.0,37.7,37.7,37.7
Korea Polar Research Institute,Korea,253,95,9,37.5,3.6,,F4320322474,False,6,247,2192,95.0,37.5,37.5,37.5
NERC Biomolecular Analysis Facility,UK,126,47,15,37.3,11.9,,F4320330235,False,2,124,396,47.0,37.3,37.3,37.3
