funder_name,country,total_articles,open_data_articles,open_code_articles,open_data_pct,open_code_pct,funder_type,funder_id,is_alias_group,pdf_covered,xml_only,aggregated_works_count,corrected_od,corrected_pct,ci_lo_pct,ci_hi_pct
"Institute of Botany, Chinese Academy of Sciences",China,114,65,13,57.0,11.4,,F4320335786,False,63,51,1146,65.0,57.0,,
German Network for Bioinformatics Infrastructure,Germany,108,61,44,56.5,40.7,,F4320330124,False,67,41,960,61.0,56.5,,
European Molecular Biology Laboratory,Germany,223,124,80,55.6,35.9,,F4320314023,False,122,101,3644,124.0,55.6,,
Uppsala Multidisciplinary Center for Advanced Computational Science,Sweden,277,150,96,54.2,34.7,,F4320336376,False,175,102,2641,150.0,54.2,,
Dr. Miriam and Sheldon G. Adelson Medical Research Foundation,USA,124,65,32,52.4,25.8,,F4320308854,False,53,71,1793,65.0,52.4,,
"Institute of Biophysics, Chinese Academy of Sciences",China,109,55,8,50.5,7.3,,F4320336256,False,70,39,779,55.0,50.5,,
"Kunming Institute of Botany, Chinese Academy of Sciences",China,101,50,10,49.5,9.9,,F4320335649,False,47,54,1540,50.0,49.5,,
European Molecular Biology Organization,Germany,373,184,103,49.3,27.6,,F4320307844,False,185,188,5527,184.0,49.3,,
Research Councils UK,UK,916,443,296,48.4,32.3,,F4320320240,False,818,98,9442,450.895763,49.2,49.021311,49.476049
Science for Life Laboratory,Sweden,544,263,138,48.3,25.4,,F4320325677,False,313,231,4355,263.0,48.3,,
U.S. Department of Health and Human Services,USA,6117,2881,1707,47.1,27.9,,F4320306085,False,5098,1019,41990,2919.0954,47.7,47.563695,47.958971
Broad Institute,USA,381,176,136,46.2,35.7,government,F4320314070,True,176,205,4677,176.0,46.2,,
Oncode Institute,Netherlands,113,51,33,45.1,29.2,,F4320331496,False,52,61,700,51.0,45.1,,
Francis Crick Institute,UK,418,185,96,44.3,23.0,government,F4320312060,True,206,212,7292,185.0,44.3,,
Hessisches Ministerium für Wissenschaft und Kunst,Germany,116,51,23,44.0,19.8,,F4320321961,False,60,56,1500,51.0,44.0,,
Damon Runyon Cancer Research Foundation,USA,215,94,64,43.7,29.8,government,F4320306271,True,92,123,5426,94.0,43.7,,
Institute of Genetics,Canada,288,125,40,43.4,13.9,,F4320338065,False,159,129,5025,125.0,43.4,43.402778,43.896489
Stand Up To Cancer,USA,177,76,36,42.9,20.3,,F4320332898,False,85,92,2210,76.0,42.9,,
Jacobs Foundation,Switzerland,118,50,53,42.4,44.9,,F4320322261,False,70,48,2722,50.0,42.4,,
Templeton World Charity Foundation,BS,127,53,58,41.7,45.7,,F4320327239,False,79,48,1563,53.202735,41.9,41.732283,43.023132
Department of Education and Training,Australia,224,93,45,41.5,20.1,,F4320324764,False,149,75,1747,96.737422,43.2,41.74793,44.759216
"Helsinki Institute of Life Science, Helsingin Yliopisto",Finland,164,68,27,41.5,16.5,,F4320333873,False,93,71,937,68.0,41.5,,
Lister Institute of Preventive Medicine,UK,106,44,19,41.5,17.9,,F4320320615,False,54,52,2049,44.0,41.5,,
National Geographic Society,USA,239,99,77,41.4,32.2,government,F4320309024,True,143,96,15140,114.773716,48.0,46.563549,49.524764
Infrastructures en Biologie Santé et Agronomie,France,201,83,32,41.3,15.9,,F4320315862,False,113,88,1973,83.0,41.3,,
Ocean University of China,China,102,42,13,41.2,12.7,,F4320322440,False,55,47,2216,43.907216,43.0,42.256318,43.927124
American Lebanese Syrian Associated Charities,USA,227,93,39,41.0,17.2,,F4320313598,False,114,113,5998,93.0,41.0,,
Howard Hughes Medical Institute,USA,1219,496,282,40.7,23.1,philanthropy,F4320306082,True,502,717,40261,496.0,40.7,40.689089,41.592678
Genome Canada,Canada,382,155,88,40.6,23.0,,F4320310787,False,211,171,8311,155.0,40.6,,
Joachim Herz Stiftung,Germany,111,45,33,40.5,29.7,,F4320310697,False,67,44,1081,45.030794,40.6,40.540541,41.874462
Smithsonian Institution,USA,248,100,52,40.3,21.0,,F4320306083,False,132,116,21188,104.61437,42.2,40.322581,44.206693
V Foundation for Cancer Research,USA,117,47,22,40.2,18.8,,F4320306536,False,55,62,2731,47.0,40.2,,
Open Philanthropy Project,USA,172,69,45,40.1,26.2,,F4320315389,False,95,77,1417,69.0,40.1,,
Australian Synchrotron,Australia,145,58,11,40.0,7.6,,F4320320540,False,75,70,3721,58.0,40.0,,
