funder_name,country,total_articles,open_data_articles,open_code_articles,open_data_pct,open_code_pct,funder_type,funder_id,is_alias_group,pdf_covered,xml_only
Uppsala Multidisciplinary Center for Advanced Computational Science,Sweden,112,59,35,52.7,31.2,,F4320336376,False,70,42
Science for Life Laboratory,Sweden,220,108,47,49.1,21.4,,F4320325677,False,112,108
European Molecular Biology Laboratory,Germany,122,57,43,46.7,35.2,,F4320314023,False,45,77
Argonne National Laboratory,USA,156,68,23,43.6,14.7,,F4320338284,False,85,71
Canadian Institute for Advanced Research,Canada,105,45,34,42.9,32.4,,F4320309949,False,45,60
Biological and Environmental Research,USA,266,108,61,40.6,22.9,,F4320337509,False,101,165
Francis Crick Institute,UK,182,73,42,40.1,23.1,government,F4320312060,True,69,113
National Centre for Earth Observation,UK,159,63,59,39.6,37.1,,F4320338155,False,101,58
Deutsches Krebsforschungszentrum,Germany,124,48,26,38.7,21.0,,F4320310693,False,69,55
Lawrence Berkeley National Laboratory,USA,129,49,32,38.0,24.8,,F4320338292,False,81,48
Fondation ARC pour la Recherche sur le Cancer,France,145,55,19,37.9,13.1,,F4320322361,False,75,70
European Synchrotron Radiation Facility,France,143,54,16,37.8,11.2,,F4320320887,False,59,84
European Molecular Biology Organization,Germany,289,106,71,36.7,24.6,,F4320307844,False,89,200
Diamond Light Source,UK,205,75,21,36.6,10.2,,F4320313096,False,79,126
"Institut National de Recherche pour l'Agriculture, l'Alimentation et l'Environnement",France,227,81,30,35.7,13.2,,F4320331560,False,117,110
Common Fund,USA,132,47,36,35.6,27.3,,F4320338403,False,54,78
Genome Canada,Canada,157,55,31,35.0,19.7,,F4320310787,False,64,93
Howard Hughes Medical Institute,USA,748,261,161,34.9,21.5,philanthropy,F4320306082,True,237,511
Directorate for Biological Sciences,USA,828,288,154,34.8,18.6,,F4320332167,False,408,420
"Division of Intramural Research, National Institute of Allergy and Infectious Diseases",USA,410,142,64,34.6,15.6,,F4320309123,False,206,204
National Geographic Society,USA,146,50,35,34.2,24.0,government,F4320309024,True,54,92
Leibniz-Gemeinschaft,Germany,272,92,39,33.8,14.3,,F4320334763,False,153,119
Deutsches Elektronen-Synchrotron,Germany,128,43,14,33.6,10.9,,F4320334759,False,57,71
Foundation for Medical Research (France),France,421,141,83,33.5,19.7,,F4320321589,False,175,246
Breast Cancer Research Foundation,USA,147,49,28,33.3,19.0,government,F4320306260,True,85,62
Österreichischen Akademie der Wissenschaften,Austria,121,40,27,33.1,22.3,,F4320321004,False,52,69
École Polytechnique Fédérale de Lausanne,Switzerland,164,54,33,32.9,20.1,,F4320320915,False,83,81
NIH Office of the Director,USA,275,90,62,32.7,22.5,,F4320337349,False,89,186
Agriculture and Agri-Food Canada,Canada,101,33,6,32.7,5.9,,F4320334595,False,44,57
Burroughs Wellcome Fund,USA,209,68,37,32.5,17.7,government,F4320306133,True,64,145
Fondation Leducq,France,155,50,33,32.3,21.3,,F4320320890,False,58,97
Prostate Cancer Foundation,USA,107,34,15,31.8,14.0,government,F4320306163,True,40,67
Office of Science,USA,744,233,114,31.3,15.3,,F4320332359,False,361,383
Cancer Prevention and Research Institute of Texas,USA,324,101,31,31.2,9.6,,F4320308129,False,128,196
John Templeton Foundation,USA,199,62,42,31.2,21.1,government,F4320306193,True,79,120
Sight Research UK,UK,610,190,146,31.1,23.9,,F4320320022,False,292,318
Freie Universität Berlin,Germany,145,45,22,31.0,15.2,,F4320324521,False,84,61
Branco Weiss Fellowship – Society in Science,Switzerland,123,38,31,30.9,25.2,,F4320320923,False,96,27
Max Planck Society,Germany,958,293,222,30.6,23.2,philanthropy,F4320322434,True,359,599
Universiteit Gent,Belgium,206,63,30,30.6,14.6,,F4320322603,False,98,108
Akademie Věd České Republiky,Czech Republic,191,58,17,30.4,8.9,,F4320322482,False,66,125
Institut National Du Cancer,France,228,69,35,30.3,15.4,,F4320323807,False,115,113
China Agricultural University,China,195,59,18,30.3,9.2,,F4320321131,False,95,100
Human Frontier Science Program,France,303,91,81,30.0,26.7,,F4320320338,False,104,199
Nanjing Agricultural University,China,104,31,7,29.8,6.7,,F4320325211,False,55,49
"University of California, San Diego",USA,274,81,51,29.6,18.6,,F4320332603,False,156,118
Uehara Memorial Foundation,Japan,164,48,14,29.3,8.5,government,F4320310760,True,52,112
"Division of Microbiology and Infectious Diseases, National Institute of Allergy and Infectious Diseases",USA,162,47,15,29.0,9.3,,F4320338412,False,50,112
Foundation for the National Institutes of Health,USA,537,154,112,28.7,20.9,,F4320306080,False,276,261
Barncancerfonden,Sweden,108,31,14,28.7,13.0,,F4320323766,False,43,65
Eidgenössische Technische Hochschule Zürich,Switzerland,420,119,81,28.3,19.3,,F4320321652,False,236,184
Associazione Italiana per la Ricerca sul Cancro,Italy,456,129,52,28.3,11.4,philanthropy,F4320323054,True,235,221
Agricultural Research Service,USA,472,133,62,28.2,13.1,,F4320332605,False,204,268
Agriculture Research System of China,China,163,46,8,28.2,4.9,,F4320326266,False,64,99
York University,Canada,103,29,17,28.2,16.5,,F4320319918,False,56,47
American Cancer Society,USA,295,82,33,27.8,11.2,government,F4320306095,True,103,192
RIKEN,Japan,169,47,23,27.8,13.6,government,F4320335125,True,96,73
National Science Foundation of Sri Lanka,LK,3213,890,747,27.7,23.2,,F4320335353,False,1351,1862
"University of California, San Francisco",USA,339,94,51,27.7,15.0,,F4320332622,False,175,164
Studienstiftung des Deutschen Volkes,Germany,132,36,17,27.3,12.9,,F4320322572,False,51,81
Chinese Academy of Agricultural Sciences,China,368,100,14,27.2,3.8,,F4320323155,False,180,188
Tsinghua University,China,173,47,15,27.2,8.7,,F4320322392,False,104,69
"Grantová Agentura, Univerzita Karlova",Czech Republic,115,31,13,27.0,11.3,,F4320309872,False,43,72
"University of California, Irvine",USA,100,27,16,27.0,16.0,,F4320332688,False,52,48
Syöpäsäätiö,Finland,100,27,14,27.0,14.0,,F4320326591,False,46,54
Cancer Research UK,UK,1292,349,222,27.0,17.2,philanthropy,F4320319985,True,450,842
Deutsches Zentrum für Infektionsforschung,Germany,171,46,15,26.9,8.8,,F4320311052,False,53,118
Naito Foundation,Japan,130,35,11,26.9,8.5,,F4320309785,False,50,80
"University of California, Davis",USA,208,56,28,26.9,13.5,,F4320332564,False,108,100
NHLBI Division of Intramural Research,USA,246,66,29,26.8,11.8,,F4320338421,False,109,137
Department of Energy,USA,1586,425,248,26.8,15.6,government,F4320306084,True,760,826
Knut och Alice Wallenbergs Stiftelse,Sweden,805,216,137,26.8,17.0,,F4320322327,False,278,527
The Wellcome Trust DBT India Alliance,India,153,41,17,26.8,11.1,,F4320325580,False,65,88
Julius-Maximilians-Universität Würzburg,Germany,101,27,23,26.7,22.8,,F4320325356,False,55,46
Centre National de la Recherche Scientifique,France,697,186,103,26.7,14.8,government,F4320322892,True,337,360
Sveriges Lantbruksuniversitet,Sweden,184,49,19,26.6,10.3,,F4320322582,False,116,68
Medical Research Foundation,UK,189,50,35,26.5,18.5,government,F4320338126,True,89,100
Division of Environmental Biology,USA,148,39,29,26.4,19.6,,F4320337400,False,28,120
Yale University,USA,231,61,42,26.4,18.2,,F4320308380,False,122,109
Massachusetts Institute of Technology,USA,122,32,16,26.2,13.1,,F4320309369,False,65,57
Agence Nationale de la Recherche,France,2644,689,439,26.1,16.6,government,F4320320883,True,1076,1568
Chan Zuckerberg Initiative,USA,203,53,62,26.1,30.5,,F4320315474,False,51,152
Universität Wien,Austria,346,90,38,26.0,11.0,,F4320321691,False,193,153
United States Department of Agriculture,USA,1277,331,139,25.9,10.9,government,F4320306114,True,543,734
Indian Council of Agricultural Research,India,178,46,10,25.8,5.6,,F4320320769,False,110,68
Nuclear Safety and Security Commission,Korea,152,39,31,25.7,20.4,,F4320322037,False,101,51
Fonds De La Recherche Scientifique - FNRS,Belgium,339,87,45,25.7,13.3,,F4320321390,False,139,200
University of Exeter,UK,134,34,21,25.4,15.7,,F4320320275,False,51,83
Ligue Contre le Cancer,France,225,57,25,25.3,11.1,,F4320322363,False,107,118
Agricultural Science and Technology Innovation Program,China,286,72,7,25.2,2.4,,F4320335848,False,108,178
University of Oxford,UK,468,118,94,25.2,20.1,,F4320320290,False,217,251
Carlsbergfondet,Denmark,131,33,22,25.2,16.8,,F4320321504,False,37,94
University of Minnesota,USA,207,52,28,25.1,13.5,,F4320309636,False,97,110
National Oceanic and Atmospheric Administration,USA,175,44,38,25.1,21.7,,F4320332181,False,86,89
Horizon 2020 Framework Programme,,2408,605,441,25.1,18.3,,F4320332999,False,1071,1337
U.S. Fish and Wildlife Service,USA,112,28,17,25.0,15.2,,F4320332182,False,35,77
Volkswagen Foundation,Germany,252,63,45,25.0,17.9,government,F4320320882,True,90,162
Michael J. Fox Foundation for Parkinson's Research,USA,264,66,52,25.0,19.7,,F4320306136,False,106,158
Earmarked Fund for China Agriculture Research System,China,201,50,7,24.9,3.5,,F4320335447,False,53,148
Academy of Medical Sciences,UK,169,42,20,24.9,11.8,,F4320320241,False,61,108
Harvard University,USA,129,32,21,24.8,16.3,,F4320309622,False,65,64
Gordon and Betty Moore Foundation,USA,306,76,58,24.8,19.0,,F4320306202,False,111,195
Deutsche Krebshilfe,Germany,326,81,36,24.8,11.0,,F4320323556,False,143,183
Business Finland,Finland,105,26,14,24.8,13.3,,F4320328501,False,37,68
Sigrid Juselius Foundation (Finland),Finland,327,81,40,24.8,12.2,,F4320323760,False,116,211
Vlaamse regering,Belgium,492,122,91,24.8,18.5,,F4320327336,False,294,198
