unified_name,iter1_total,iter1_od,iter1_pct,iter1_rank,iter1_in_fig,iter2_total,iter2_od,iter2_pct,iter2_rank,iter2_in_fig,iter3_total,iter3_od,iter3_pct,iter3_corrected_pct,iter3_ci_lo,iter3_ci_hi,iter3_rank,iter3_in_fig,delta_pct_1to3,delta_pct_2to3,delta_pct_1to3_corr,delta_pct_2to3_corr,ratio_total_3to1,ratio_total_3to2
Agence Nationale de la Recherche,30382.0,5304.0,17.5,12.0,True,599.0,246.0,41.1,8.0,True,2644.0,689.0,26.1,28.8,28.1,29.5,81.0,True,8.6,-15.0,11.3,-12.3,0.1,4.4
American Heart Association,11428.0,1204.0,10.5,45.0,True,166.0,64.0,38.6,14.0,True,696.0,146.0,21.0,21.6,21.0,22.3,192.0,False,10.5,-17.6,11.1,-17.0,0.1,4.2
Associazione Italiana per la Ricerca sul Cancro,7641.0,1080.0,14.1,47.0,True,145.0,57.0,39.3,13.0,True,456.0,129.0,28.3,28.3,28.3,28.3,51.0,False,14.2,-11.0,14.2,-11.0,0.1,3.1
Australian Research Council,26111.0,3511.0,13.4,17.0,True,465.0,170.0,36.6,15.0,True,1223.0,236.0,19.3,22.1,21.2,23.0,239.0,False,5.9,-17.3,8.7,-14.5,0.0,2.6
Austrian Science Fund,15381.0,2014.0,13.1,33.0,True,220.0,92.0,41.8,6.0,True,1545.0,343.0,22.2,23.5,23.0,24.1,157.0,False,9.1,-19.6,10.4,-18.3,0.1,7.0
Bill and Melinda Gates Foundation,22670.0,2046.0,9.0,32.0,True,466.0,143.0,30.7,26.0,True,2486.0,431.0,17.3,21.6,21.1,22.2,312.0,False,8.3,-13.4,12.6,-9.1,0.1,5.3
Bundesministerium fur Bildung und Forschung,26596.0,3091.0,11.6,23.0,True,529.0,147.0,27.8,35.0,True,2710.0,525.0,19.4,23.6,23.0,24.3,232.0,True,7.8,-8.4,12.0,-4.2,0.1,5.1
Canadian Institutes of Health Research,35617.0,2908.0,8.2,24.0,True,545.0,152.0,27.9,34.0,True,2619.0,411.0,15.7,19.1,18.5,19.9,379.0,True,7.5,-12.2,10.9,-8.8,0.1,4.8
Centre National de la Recherche Scientifique,12729.0,2207.0,17.3,30.0,True,170.0,69.0,40.6,10.0,True,697.0,186.0,26.7,29.3,28.8,30.0,74.0,False,9.4,-13.9,12.0,-11.3,0.1,4.1
China Postdoctoral Science Foundation,24691.0,2328.0,9.4,29.0,True,656.0,175.0,26.7,37.0,True,2930.0,405.0,13.8,17.4,16.5,18.6,472.0,True,4.4,-12.9,8.0,-9.3,0.1,4.5
China Scholarship Council,15005.0,1708.0,11.4,40.0,True,286.0,83.0,29.0,29.0,True,1635.0,273.0,16.7,21.2,20.7,21.9,331.0,False,5.3,-12.3,9.8,-7.8,0.1,5.7
