journal,h2h_n,xml_od_rate,pdf_od_rate,best_od_rate
Scientific Reports,49500,0.044505050505050506,0.14377777777777778,0.14476767676767677
PLoS ONE,24144,0.06908548707753479,0.2381129887342611,0.24142644135188868
Cureus,18834,0.0010088138472974409,0.001752150366358713,0.0018052458320059466
Nature Communications,15121,0.09562859599232855,0.5662985252298128,0.5709278486872561
International Journal of Molecular Sciences,8254,0.05669978192391568,0.11994184637751393,0.12054761327841047
Heliyon,7499,0.0716095479397253,0.041605547406320845,0.07787705027336979
Sensors,5882,0.003060183611016661,0.012070724243454607,0.012070724243454607
BMC Public Health,5185,0.025458052073288332,0.12999035679845708,0.13114754098360656
Journal of Clinical Medicine,5131,0.001364256480218281,0.00896511401286299,0.00896511401286299
Materials,4599,0.0006523157208088715,0.005653402913676886,0.005653402913676886
Molecules,4081,0.03430531732418525,0.05268316589071306,0.0529282038716001
Frontiers in Immunology,3836,0.1329509906152242,0.21584984358706985,0.21715328467153286
Frontiers in Public Health,3568,0.029708520179372196,0.14321748878923768,0.14349775784753363
Foods,3081,0.018500486854917234,0.03375527426160337,0.03375527426160337
Frontiers in Psychology,2829,0.07175680452456698,0.12725344644750794,0.127960410038883
Nutrients,2751,0.013813158851326791,0.045438022537259176,0.04616503089785533
Animals,2748,0.05458515283842795,0.1146288209606987,0.11535662299854439
Plants,2705,0.05323475046210721,0.11016635859519408,0.11090573012939002
Polymers,2629,0.001901863826550019,0.01103081019399011,0.01103081019399011
Frontiers in Oncology,2588,0.03941267387944358,0.07187017001545595,0.07264296754250386
Cancers,2556,0.013693270735524257,0.04303599374021909,0.04303599374021909
RSC Advances,2507,0.035899481451934584,0.04507379337854009,0.046270442760271244
Communications Biology,2503,0.12305233719536555,0.6132640831002797,0.6184578505793048
Frontiers in Microbiology,2471,0.3828409550789154,0.5135572642654795,0.5159854309995953
Scientific Data,2421,0.7480380008261049,0.6137959520859149,0.7798430400660884
Frontiers in Pharmacology,2370,0.024894514767932488,0.14261603375527426,0.14261603375527426
Frontiers in Plant Science,2285,0.21663019693654267,0.2975929978118162,0.30065645514223194
BMC Cancer,2277,0.029424681598594644,0.1251646903820817,0.12604303908651734
Frontiers in Medicine,2212,0.03345388788426763,0.08318264014466546,0.08363471971066908
BMC Health Services Research,2205,0.004081632653061225,0.055782312925170066,0.05623582766439909
BMC Oral Health,2196,0.011384335154826957,0.06466302367941712,0.06466302367941712
BMC Medical Education,2148,0.0037243947858473,0.03398510242085661,0.034916201117318434
BMC Plant Biology,1982,0.13471241170534815,0.4192734611503532,0.42078708375378404
Diagnostics,1962,0.0061162079510703364,0.016819571865443424,0.017329255861365953
BMC Infectious Diseases,1953,0.030209933435739886,0.14695340501792115,0.14695340501792115
Healthcare,1837,0.002177463255307567,0.023407729994556342,0.023407729994556342
Microorganisms,1825,0.1780821917808219,0.29315068493150687,0.2958904109589041
Biomedicines,1765,0.01643059490084986,0.036260623229461754,0.037393767705382434
Discover Oncology,1761,0.0653038046564452,0.1902328222600795,0.19363997728563317
BMC Genomics,1747,0.2014882655981683,0.6937607326846021,0.6954779622209502
Frontiers in Endocrinology,1728,0.1111111111111111,0.1724537037037037,0.17418981481481483
Frontiers in Psychiatry,1569,0.043339706819630335,0.09878903760356915,0.09878903760356915
Advanced Science,1568,0.05739795918367347,0.11862244897959184,0.12308673469387756
Frontiers in Neurology,1556,0.02634961439588689,0.061053984575835475,0.061696658097686374
BMC Nursing,1490,0.0013422818791946308,0.021476510067114093,0.02214765100671141
Frontiers in Nutrition,1469,0.10551395507147719,0.2226004084411164,0.22328114363512594
Nanomaterials,1453,0.0013764624913971094,0.004817618719889883,0.004817618719889883
Frontiers in Veterinary Science,1441,0.14850798056904926,0.24080499653018736,0.24149895905621097
BMC Musculoskeletal Disorders,1424,0.014747191011235955,0.06601123595505617,0.06601123595505617
Journal of Translational Medicine,1409,0.0695528743789922,0.2320794889992903,0.23420865862313697
BMC Psychiatry,1386,0.030303030303030304,0.08874458874458875,0.08946608946608947
BMC Pregnancy and Childbirth,1345,0.012639405204460967,0.07360594795539034,0.07360594795539034
Medicina,1341,0.0044742729306487695,0.01267710663683818,0.01267710663683818
BMC Psychology,1309,0.019862490450725745,0.0748663101604278,0.0748663101604278
BMC Geriatrics,1299,0.009237875288683603,0.08929946112394149,0.09006928406466513
Chemical Science,1256,0.1321656050955414,0.15445859872611464,0.16003184713375795
eLife,1225,0.1763265306122449,0.5877551020408164,0.5951020408163266
Viruses,1209,0.14226633581472292,0.24483043837882548,0.2456575682382134
Journal of Orthopaedic Surgery and Research,1198,0.007512520868113523,0.0325542570951586,0.0325542570951586
Cell Death and Disease,1169,0.11035072711719418,0.28828058169375537,0.28999144568006846
BMC Pediatrics,1143,0.007874015748031496,0.07174103237095363,0.07174103237095363
International Journal of Environmental Research and Public Health,1115,0.0026905829596412557,0.028699551569506727,0.028699551569506727
Pharmaceuticals,1092,0.018315018315018316,0.03663003663003663,0.037545787545787544
Frontiers in Cardiovascular Medicine,1084,0.021217712177121772,0.08671586715867159,0.08671586715867159
Life,1077,0.019498607242339833,0.04642525533890436,0.04642525533890436
PLoS Computational Biology,1062,0.10357815442561205,0.3851224105461394,0.3879472693032015
Micromachines,1059,0.0018885741265344666,0.004721435316336166,0.004721435316336166
Genes,1050,0.10761904761904761,0.22857142857142856,0.22952380952380952
Pharmaceutics,1047,0.015281757402101241,0.02387774594078319,0.02387774594078319
Cells,1046,0.05640535372848948,0.13097514340344169,0.13097514340344169
Journal of Nanobiotechnology,1037,0.015429122468659595,0.03857280617164899,0.03857280617164899
BMC Cardiovascular Disorders,1029,0.026239067055393587,0.10495626822157435,0.10592808551992225
Frontiers in Pediatrics,998,0.014028056112224449,0.07314629258517034,0.07314629258517034
Ecology and Evolution,984,0.13414634146341464,0.5619918699186992,0.5640243902439024
Antioxidants,983,0.024415055951169887,0.05798575788402848,0.059003051881993895
Behavioral Sciences,968,0.01652892561983471,0.058884297520661155,0.058884297520661155
Nature,959,0.11157455683003129,0.5828988529718456,0.5954118873826904
Children,956,0.0031380753138075313,0.013598326359832637,0.013598326359832637
Science Advances,953,0.07869884575026233,0.36621196222455404,0.36935991605456453
Trials,950,0.02631578947368421,0.09789473684210526,0.09894736842105263
PLoS neglected tropical diseases,948,0.1308016877637131,0.3291139240506329,0.33122362869198313
BMC Veterinary Research,943,0.14103923647932132,0.2354188759278897,0.23647932131495228
Frontiers in Bioengineering and Biotechnology,935,0.026737967914438502,0.09839572192513368,0.09839572192513368
PLoS Pathogens,934,0.21841541755888652,0.47002141327623126,0.4721627408993576
Vaccines,929,0.0193756727664155,0.059203444564047365,0.059203444564047365
European journal of medical research,926,0.0367170626349892,0.11123110151187905,0.11123110151187905
Biomolecules,888,0.04954954954954955,0.10810810810810811,0.10923423423423423
Frontiers in Neuroscience,884,0.07805429864253394,0.1255656108597285,0.12782805429864252
Bioengineering,876,0.010273972602739725,0.02511415525114155,0.02511415525114155
BMC Microbiology,874,0.2494279176201373,0.6189931350114416,0.6212814645308925
Frontiers in Cellular and Infection Microbiology,868,0.25,0.3548387096774194,0.358294930875576
Nucleic Acids Research,866,0.1628175519630485,0.5889145496535797,0.5935334872979214
Frontiers in Genetics,846,0.1016548463356974,0.3557919621749409,0.35815602836879434
