journal,n_corpus,n_xml,n_pdf_now,h2h_now,h2h_projected,crossed_50,still_short_50
Scientific Reports,49520,49516.0,35796.0,35792.0,49503.0,False,False
Cureus,28751,28726.0,14213.0,14188.0,18871.0,False,False
PLoS ONE,24182,24178.0,10577.0,10573.0,24161.0,False,False
Heliyon,16600,16600.0,4.0,4.0,7547.0,True,False
Nature Communications,15129,15127.0,11608.0,11606.0,15125.0,False,False
International Journal of Molecular Sciences,14269,14261.0,2875.0,2867.0,8304.0,False,False
Sensors,10333,10324.0,1937.0,1928.0,5882.0,False,False
Journal of Clinical Medicine,8679,8679.0,1715.0,1715.0,5132.0,False,False
Materials,8035,8028.0,1471.0,1464.0,4612.0,False,False
Molecules,7085,7082.0,1318.0,1315.0,4081.0,False,False
ACS Omega,5973,5973.0,0.0,0.0,744.0,True,False
Frontiers in Immunology,5876,5856.0,2745.0,2725.0,3836.0,False,False
PubMed,5728,5699.0,34.0,5.0,6.0,False,True
Frontiers in Public Health,5387,5385.0,2502.0,2500.0,3568.0,False,False
Foods,5262,5259.0,980.0,977.0,3093.0,False,False
BMC Public Health,5185,5185.0,3814.0,3814.0,5185.0,False,False
BMJ Open,4923,4923.0,1.0,1.0,76.0,True,False
Animals,4759,4759.0,884.0,884.0,2748.0,False,False
Nutrients,4728,4727.0,921.0,920.0,2751.0,False,False
Medicine,4702,4702.0,0.0,0.0,75.0,True,False
Plants,4653,4650.0,876.0,873.0,2705.0,False,False
RSC Advances,4574,4553.0,1817.0,1796.0,2507.0,False,False
Polymers,4477,4475.0,914.0,912.0,2636.0,False,False
Advanced Science,4305,4279.0,314.0,288.0,1647.0,False,False
Frontiers in Psychology,4285,4283.0,2071.0,2069.0,2829.0,False,False
Proceedings of the National Academy of Sciences,4134,4130.0,53.0,49.0,59.0,True,False
Cancers,4121,4120.0,920.0,919.0,2565.0,False,False
Frontiers in Oncology,4069,4062.0,1865.0,1858.0,2588.0,False,False
Frontiers in Microbiology,3850,3844.0,1804.0,1798.0,2471.0,False,False
Frontiers in Pharmacology,3697,3696.0,1646.0,1645.0,2370.0,False,False
Frontiers in Plant Science,3649,3639.0,1630.0,1620.0,2300.0,False,False
Science Advances,3594,3593.0,21.0,20.0,1038.0,True,False
iScience,3514,3514.0,13.0,13.0,459.0,True,False
Frontiers in Medicine,3462,3454.0,1509.0,1501.0,2212.0,False,False
Diagnostics,3400,3400.0,640.0,640.0,1974.0,False,False
Healthcare,3137,3136.0,600.0,599.0,1840.0,False,False
Microorganisms,3132,3132.0,651.0,651.0,1826.0,False,False
Biomedicines,3002,3000.0,678.0,676.0,1765.0,False,False
JAMA Network Open,2805,2805.0,15.0,15.0,17.0,False,True
Frontiers in Endocrinology,2649,2648.0,1324.0,1323.0,1728.0,False,False
PeerJ,2512,2512.0,1.0,1.0,1.0,False,True
Communications Biology,2503,2503.0,1822.0,1822.0,2503.0,False,False
Chemical Science,2486,2450.0,1000.0,964.0,1256.0,False,False
Scientific Data,2421,2421.0,1694.0,1694.0,2421.0,False,False
Nanomaterials,2402,2402.0,484.0,484.0,1453.0,False,False
Frontiers in Nutrition,2356,2356.0,997.0,997.0,1469.0,False,False
Frontiers in Psychiatry,2334,2334.0,1140.0,1140.0,1569.0,False,False
Ecology and Evolution,2325,2325.0,136.0,136.0,996.0,False,False
Medicina,2321,2321.0,475.0,475.0,1341.0,False,False
Frontiers in Neurology,2291,2291.0,1153.0,1153.0,1556.0,False,False
BMC Cancer,2277,2277.0,1623.0,1623.0,2277.0,False,False
Frontiers in Veterinary Science,2238,2236.0,1001.0,999.0,1455.0,False,False
BMC Health Services Research,2205,2205.0,1714.0,1714.0,2205.0,False,False
BMC Oral Health,2196,2196.0,1587.0,1587.0,2196.0,False,False
BMC Medical Education,2148,2148.0,1601.0,1601.0,2148.0,False,False
International Journal of Surgery Case Reports,2131,2131.0,0.0,0.0,0.0,False,True
Viruses,2076,2076.0,457.0,457.0,1209.0,False,False
International Journal of Environmental Research and Public Health,2018,2018.0,422.0,422.0,1115.0,False,False
BMC Plant Biology,1982,1982.0,1378.0,1378.0,1982.0,False,False
BMC Infectious Diseases,1953,1953.0,1447.0,1447.0,1953.0,False,False
Radiology Case Reports,1875,1875.0,0.0,0.0,0.0,False,True
Life,1867,1865.0,412.0,410.0,1077.0,False,False
Pharmaceuticals,1846,1842.0,384.0,380.0,1092.0,False,False
Poultry Science,1824,1824.0,0.0,0.0,0.0,False,True
Genes,1815,1814.0,398.0,397.0,1050.0,False,False
Cells,1812,1810.0,381.0,379.0,1049.0,False,False
Clinical Case Reports,1787,1787.0,135.0,135.0,739.0,False,False
Frontiers in Cardiovascular Medicine,1767,1767.0,781.0,781.0,1084.0,False,False
Micromachines,1765,1764.0,365.0,364.0,1059.0,False,False
Discover Oncology,1761,1761.0,960.0,960.0,1761.0,False,False
BMC Genomics,1747,1747.0,1283.0,1283.0,1747.0,False,False
Behavioral Sciences,1741,1741.0,308.0,308.0,968.0,False,False
Microbiology Spectrum,1737,1737.0,3.0,3.0,4.0,False,True
Nature,1722,961.0,1459.0,698.0,959.0,False,False
Pharmaceutics,1713,1713.0,365.0,365.0,1048.0,False,False
Children,1695,1695.0,339.0,339.0,956.0,False,False
Antioxidants,1667,1665.0,350.0,348.0,983.0,False,False
Data in Brief,1629,1629.0,0.0,0.0,0.0,False,True
Nucleic Acids Research,1610,1598.0,17.0,5.0,889.0,True,False
Biomolecules,1543,1541.0,316.0,314.0,888.0,False,False
Vaccines,1541,1541.0,353.0,353.0,929.0,False,False
Frontiers in Pediatrics,1535,1535.0,667.0,667.0,998.0,False,False
Journal of the American Heart Association,1531,1531.0,7.0,7.0,15.0,False,True
Entropy,1509,1508.0,273.0,272.0,837.0,False,False
Bioengineering,1500,1499.0,303.0,302.0,876.0,False,False
BMC Nursing,1491,1490.0,1095.0,1094.0,1490.0,False,False
eLife,1459,1406.0,839.0,786.0,1225.0,False,False
Journal of Pharmacy And Bioallied Sciences,1452,1452.0,0.0,0.0,0.0,False,True
Journal of Biological Chemistry,1444,1444.0,11.0,11.0,11.0,False,True
Insects,1431,1428.0,267.0,264.0,809.0,False,False
BMC Musculoskeletal Disorders,1424,1424.0,1082.0,1082.0,1424.0,False,False
Frontiers in Cellular and Infection Microbiology,1422,1421.0,604.0,603.0,870.0,False,False
Journal of Medical Internet Research,1416,1416.0,115.0,115.0,125.0,False,False
Journal of Translational Medicine,1409,1409.0,1007.0,1007.0,1409.0,False,False
Antibiotics,1407,1407.0,255.0,255.0,792.0,False,False
PLOS Global Public Health,1405,1404.0,626.0,625.0,703.0,False,False
BMC Psychiatry,1386,1386.0,1013.0,1013.0,1386.0,False,False
Food Chemistry X,1384,1384.0,0.0,0.0,0.0,False,True
Biology,1357,1354.0,223.0,220.0,761.0,False,False
BMC Pregnancy and Childbirth,1345,1345.0,901.0,901.0,1345.0,False,False
Frontiers in Bioengineering and Biotechnology,1342,1342.0,723.0,723.0,935.0,False,False
Cancer Medicine,1318,1318.0,97.0,97.0,527.0,False,False
Frontiers in Neuroscience,1316,1316.0,679.0,679.0,889.0,False,False
BMC Psychology,1309,1309.0,860.0,860.0,1309.0,False,False
Brain Sciences,1307,1306.0,266.0,265.0,764.0,False,False
BMC Geriatrics,1301,1299.0,1009.0,1007.0,1299.0,False,False
Journal of the American Chemical Society,1291,1286.0,5.0,0.0,142.0,True,False
Frontiers in Genetics,1284,1284.0,629.0,629.0,846.0,False,False
Plastic & Reconstructive Surgery Global Open,1245,1245.0,0.0,0.0,0.0,False,True
ACS Applied Materials & Interfaces,1231,1223.0,8.0,0.0,139.0,True,False
Journal of Family Medicine and Primary Care,1228,1228.0,0.0,0.0,0.0,False,True
Journal of Orthopaedic Surgery and Research,1199,1198.0,861.0,860.0,1198.0,False,False
Pathogens,1185,1185.0,301.0,301.0,687.0,False,False
Journal of Surgical Case Reports,1181,1181.0,0.0,0.0,636.0,True,False
