journal,total_articles,open_data_articles,open_code_articles,pdf_covered,pdf_covered_od,xml_only,xml_only_od,open_data_pct,open_code_pct,corrected_od,ci_lo,ci_hi,corrected_pct,ci_lo_pct,ci_hi_pct
Nature Genetics,227,210.0,171.0,227.0,210.0,0.0,0.0,92.5,75.3,210.0,,,92.5,,
Genome biology,459,419.0,300.0,459.0,419.0,0.0,0.0,91.3,65.4,419.0,,,91.3,,
Nature Structural & Molecular Biology,151,137.0,56.0,151.0,137.0,0.0,0.0,90.7,37.1,137.0,,,90.7,,
Environmental Microbiome,180,160.0,64.0,180.0,160.0,0.0,0.0,88.9,35.6,160.0,,,88.9,,
Microbial Genomics,223,189.0,74.0,1.0,1.0,222.0,188.0,84.8,33.2,189.0,,,84.8,,
Molecular & Cellular Proteomics,207,169.0,41.0,0.0,0.0,207.0,169.0,81.6,19.8,169.0,,,81.6,,
Nature Microbiology,194,157.0,100.0,194.0,157.0,0.0,0.0,80.9,51.5,157.0,,,80.9,,
Animal Microbiome,140,113.0,31.0,140.0,113.0,0.0,0.0,80.7,22.1,113.0,,,80.7,,
Cell Genomics,182,146.0,119.0,50.0,39.0,132.0,107.0,80.2,65.4,146.0,146.0,154.165002183921,80.2,80.21978,84.706045
Microbiome,380,304.0,109.0,380.0,304.0,0.0,0.0,80.0,28.7,304.0,,,80.0,,
Nature Immunology,113,90.0,51.0,112.0,90.0,1.0,0.0,79.6,45.1,90.85185185185185,90.7586664574881,90.91317377183337,80.4,80.317404,80.454136
Scientific Data,2421,1888.0,1173.0,2421.0,1888.0,0.0,0.0,78.0,48.5,1888.0,,,78.0,,
Nature Cell Biology,124,96.0,71.0,124.0,96.0,0.0,0.0,77.4,57.3,96.0,,,77.4,,
Genome Research,217,165.0,135.0,2.0,2.0,215.0,163.0,76.0,62.2,165.0,,,76.0,,
Nature Methods,212,157.0,151.0,212.0,157.0,0.0,0.0,74.1,71.2,157.0,,,74.1,,
Genome Medicine,207,153.0,93.0,207.0,153.0,0.0,0.0,73.9,44.9,153.0,,,73.9,,
Journal of Cognition,103,75.0,54.0,10.0,7.0,93.0,68.0,72.8,52.4,75.0,,,72.8,,
Communications Psychology,185,134.0,138.0,185.0,134.0,0.0,0.0,72.4,74.6,134.0,,,72.4,,
Nature Biotechnology,120,86.0,59.0,120.0,86.0,0.0,0.0,71.7,49.2,86.0,,,71.7,,
Mitochondrial DNA Part B,451,322.0,5.0,186.0,181.0,265.0,141.0,71.4,1.1,438.8763440860215,429.73542741580303,442.94307508312244,97.3,95.285017,98.213542
Cell Reports Methods,189,135.0,96.0,63.0,49.0,126.0,86.0,71.4,50.8,147.0,135.0,157.70664633410286,77.8,71.428571,83.44267
Nature Ecology & Evolution,129,92.0,89.0,129.0,92.0,0.0,0.0,71.3,69.0,92.0,,,71.3,,
Attention Perception & Psychophysics,116,81.0,59.0,116.0,81.0,0.0,0.0,69.8,50.9,81.0,,,69.8,,
BMC Genomics,1747,1215.0,308.0,1747.0,1215.0,0.0,0.0,69.5,17.6,1215.0,,,69.5,,
PLoS Genetics,458,315.0,130.0,458.0,315.0,0.0,0.0,68.8,28.4,315.0,,,68.8,,
Nature Neuroscience,173,119.0,101.0,173.0,119.0,0.0,0.0,68.8,58.4,119.0,,,68.8,,
BMC Genomic Data,144,99.0,10.0,144.0,99.0,0.0,0.0,68.8,6.9,99.0,,,68.8,,
Cancer Research,121,83.0,20.0,5.0,4.0,116.0,79.0,68.6,16.5,83.0,,,68.6,,
Cell Reports,645,441.0,221.0,248.0,186.0,397.0,255.0,68.4,34.3,483.75,460.95049073956284,503.52158377076427,75.0,71.465192,78.065362
Behavior Research Methods,249,170.0,182.0,249.0,170.0,0.0,0.0,68.3,73.1,170.0,,,68.3,,
Cell Reports Medicine,535,365.0,197.0,200.0,131.0,335.0,234.0,68.2,36.8,365.0,365.0,371.3300488803425,68.2,68.224299,69.407486
BMC Biology,431,293.0,131.0,431.0,293.0,0.0,0.0,68.0,30.4,293.0,,,68.0,,
PLoS Biology,648,437.0,313.0,648.0,437.0,0.0,0.0,67.4,48.3,437.0,,,67.4,,
Cognitive Research Principles and Implications,106,71.0,46.0,106.0,71.0,0.0,0.0,67.0,43.4,71.0,,,67.0,,
Psychological Research,111,74.0,42.0,111.0,74.0,0.0,0.0,66.7,37.8,74.0,,,66.7,,
npj Biofilms and Microbiomes,225,148.0,57.0,225.0,148.0,0.0,0.0,65.8,25.3,148.0,,,65.8,,
Nature Chemistry,122,80.0,22.0,122.0,80.0,0.0,0.0,65.6,18.0,80.0,,,65.6,,
Nature Metabolism,104,68.0,37.0,104.0,68.0,0.0,0.0,65.4,35.6,68.0,,,65.4,,
Microbial Ecology,202,132.0,54.0,202.0,132.0,0.0,0.0,65.3,26.7,132.0,,,65.3,,
FEMS Microbiology Ecology,199,129.0,48.0,122.0,94.0,77.0,35.0,64.8,24.1,153.327868852459,146.99902252413725,158.38507939446518,77.0,73.868856,79.590492
ISME Communications,254,158.0,74.0,172.0,140.0,82.0,18.0,62.2,29.1,206.74418604651163,201.43184035596713,210.93166862029332,81.4,79.303874,83.043964
BMC Microbiology,874,543.0,36.0,874.0,543.0,0.0,0.0,62.1,4.1,543.0,,,62.1,,
Communications Biology,2503,1548.0,739.0,2503.0,1548.0,0.0,0.0,61.8,29.5,1548.0,,,61.8,,
Cell Discovery,112,68.0,15.0,112.0,68.0,0.0,0.0,60.7,13.4,68.0,,,60.7,,
Stem Cell Reports,164,96.0,21.0,57.0,32.0,107.0,64.0,58.5,12.8,96.0,96.0,105.0034300440934,58.5,58.536585,64.026482
The ISME Journal,341,195.0,74.0,245.0,177.0,96.0,18.0,57.2,21.7,246.35510204081632,240.67403431684812,251.3768124869017,72.2,70.578896,73.71754
Nature Communications,15129,8634.0,4198.0,15123.0,8634.0,6.0,0.0,57.1,27.7,8637.425567092123,8637.378130929004,8637.472787073337,57.1,57.091534,57.092159
Patterns,123,70.0,73.0,54.0,32.0,69.0,38.0,56.9,59.3,72.88888888888889,70.0,81.2121695194241,59.3,56.910569,66.026154
MycoKeys,242,134.0,1.0,60.0,34.0,182.0,100.0,55.4,0.4,137.13333333333333,134.0,158.53859528219084,56.7,55.371901,65.511816
Virus Evolution,134,74.0,36.0,83.0,60.0,51.0,14.0,55.2,26.9,96.86746987951807,91.5374324569291,101.19178487669903,72.3,68.311517,75.516257
Environmental Microbiology Reports,201,109.0,29.0,112.0,77.0,89.0,32.0,54.2,14.4,138.1875,130.1014059183938,145.16679479706593,68.8,64.727068,72.222286
eLife,1459,785.0,449.0,1278.0,759.0,181.0,26.0,53.8,30.8,866.7134693877551,861.6916670051767,871.627646403484,59.4,59.06043,59.741443
Molecular Ecology,109,56.0,53.0,65.0,50.0,44.0,6.0,51.4,48.6,86.96000000000001,81.45362837682296,90.33157860068141,79.8,74.728099,82.873008
iScience,3514,1793.0,1055.0,459.0,238.0,3055.0,1555.0,51.0,30.0,1822.074074074074,1793.0,1960.6719597168117,51.9,51.024474,55.796015
Global Change Biology,179,91.0,68.0,99.0,78.0,80.0,13.0,50.8,38.0,145.36842105263156,137.51868906065914,150.58447520458606,81.2,76.826083,84.125405
Parasite,104,52.0,0.0,0.0,0.0,104.0,52.0,50.0,0.0,52.0,,,50.0,,
International Journal for Parasitology Parasites and Wildlife,162,81.0,1.0,0.0,0.0,162.0,81.0,50.0,0.6,81.0,,,50.0,,
JCI Insight,691,338.0,60.0,23.0,11.0,668.0,327.0,48.9,8.7,338.0,,,48.9,,
PLoS Pathogens,937,441.0,95.0,934.0,441.0,3.0,0.0,47.1,10.1,442.4164882226981,442.3209760879369,442.5126845217012,47.2,47.206081,47.226541
