pmid,doi,pmcid,journal,pub_year
40527818,10.1097/md.0000000000042809,PMC12173270,Medicine,2025
39496004,10.1097/md.0000000000040413,PMC11537630,Medicine,2024
39854742,10.1097/md.0000000000041357,PMC11771610,Medicine,2025
38215113,10.1097/md.0000000000036281,PMC10783393,Medicine,2024
39612418,10.1097/md.0000000000040712,PMC11608674,Medicine,2024
40295274,10.1097/md.0000000000042244,PMC12039976,Medicine,2025
39686433,10.1097/md.0000000000040850,PMC11651477,Medicine,2024
39560521,10.1097/md.0000000000040486,PMC11576041,Medicine,2024
38728483,10.1097/md.0000000000037889,PMC11081592,Medicine,2024
38788028,10.1097/md.0000000000038167,PMC11124765,Medicine,2024
39889152,10.1097/md.0000000000041399,PMC11789900,Medicine,2025
38241581,10.1097/md.0000000000036765,PMC10798780,Medicine,2024
40324240,10.1097/md.0000000000041994,PMC12055076,Medicine,2025
39465738,10.1097/md.0000000000040023,PMC11460901,Medicine,2024
39612411,10.1097/md.0000000000040689,PMC11608732,Medicine,2024
39465855,10.1097/md.0000000000039789,PMC11479489,Medicine,2024
39686460,10.1097/md.0000000000040778,PMC11651432,Medicine,2024
38335386,10.1097/md.0000000000036917,PMC10860960,Medicine,2024
40193686,10.1097/md.0000000000041850,PMC11977710,Medicine,2025
40068083,10.1097/md.0000000000041745,PMC11902928,Medicine,2025
38181291,10.1097/md.0000000000036750,PMC10766248,Medicine,2024
39969355,10.1097/md.0000000000041097,PMC11688034,Medicine,2024
38277576,10.1097/md.0000000000036989,PMC10817094,Medicine,2024
40101050,10.1097/md.0000000000041901,PMC11922464,Medicine,2025
38905428,10.1097/md.0000000000038430,PMC11191918,Medicine,2024
40527840,10.1097/md.0000000000042542,PMC12173272,Medicine,2025
39496009,10.1097/md.0000000000040205,PMC11537579,Medicine,2024
38306555,10.1097/md.0000000000037110,PMC10843374,Medicine,2023
39252298,10.1097/md.0000000000039378,PMC11384052,Medicine,2024
