pmid,doi,pmcid,journal,funder_name,pdf_od_rate,priority_score,rank
38287193,10.1038/s41594-023-01209-y,PMC11026158,Nature Structural & Molecular Biology,Novo Nordisk Fonden,0.9587628865979382,1.9175257731958764,1
39901013,10.1038/s41588-025-02080-x,PMC11906353,Nature Genetics,"National Heart, Lung, and Blood Institute",0.9508196721311475,1.901639344262295,2
40065168,10.1038/s41588-025-02125-1,PMC11985350,Nature Genetics,Medical Research Council,0.9508196721311475,1.901639344262295,3
39966644,10.1038/s41588-025-02086-5,PMC11906351,Nature Genetics,Medical Research Council,0.9508196721311475,1.901639344262295,4
40210680,10.1038/s41588-025-02152-y,PMC12081297,Nature Genetics,National Institute for Health and Care Research,0.9508196721311475,1.901639344262295,5
39948438,10.1038/s41588-025-02085-6,PMC11906367,Nature Genetics,Medical Research Council,0.9508196721311475,1.901639344262295,6
40457074,10.1038/s41588-025-02197-z,PMC12165855,Nature Genetics,National Cancer Institute,0.9508196721311475,1.901639344262295,7
39251788,10.1038/s41588-024-01893-6,PMC11525188,Nature Genetics,Prostate Cancer Foundation,0.9508196721311475,1.901639344262295,8
38956208,10.1038/s41588-024-01777-9,PMC11250277,Nature Genetics,Cancer Research UK,0.9508196721311475,1.901639344262295,9
39572783,10.1038/s41588-024-01952-y,PMC11631752,Nature Genetics,National Institute for Health and Care Research,0.9508196721311475,1.901639344262295,10
40419681,10.1038/s41588-025-02172-8,PMC12165863,Nature Genetics,Howard Hughes Medical Institute,0.9508196721311475,1.901639344262295,11
40379787,10.1038/s41588-025-02187-1,PMC12165862,Nature Genetics,Breast Cancer Research Foundation,0.9508196721311475,1.901639344262295,12
39313617,10.1038/s41588-024-01875-8,PMC11525200,Nature Genetics,Medical Research Council,0.9508196721311475,1.901639344262295,13
39966645,10.1038/s41588-025-02094-5,PMC11906360,Nature Genetics,British Heart Foundation,0.9508196721311475,1.901639344262295,14
38291333,10.1038/s41588-023-01649-8,PMC10937381,Nature Genetics,Deutsche Forschungsgemeinschaft,0.9508196721311475,1.901639344262295,15
40325133,10.1038/s41588-025-02173-7,PMC12081309,Nature Genetics,National Human Genome Research Institute,0.9508196721311475,1.901639344262295,16
40442284,10.1038/s41588-025-02209-y,PMC12165836,Nature Genetics,Cancer Research UK,0.9508196721311475,1.901639344262295,17
