entity,total_articles,positives,observed_rate,exposure_repo_pp,exposure_nonpub_pp,rank_observed,rank_corrected_repo,rank_delta
Biotechnology and Biological Sciences Research Council,7388,2649,35.86,7.13,43.81,1,2,-1
Natural Environment Research Council,2525,819,32.44,23.13,55.01,2,1,1
National Institute of General Medical Sciences,30657,9570,31.22,4.77,44.28,3,6,-3
Centre National de la Recherche Scientifique,2532,752,29.7,5.02,42.06,4,7,-3
Agence Nationale de la Recherche,11826,3488,29.49,7.23,44.16,5,4,1
U.S. Department of Agriculture,5285,1481,28.02,5.96,48.08,6,8,-2
Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung,11196,3108,27.76,8.49,47.56,7,5,2
Wellcome Trust,16059,4274,26.61,6.43,47.52,8,10,-2
Chinese Academy of Sciences,6159,1632,26.5,3.96,39.36,9,15,-6
National Cancer Institute,32524,8350,25.67,2.86,44.24,10,18,-8
Deutsche Forschungsgemeinschaft,27935,7143,25.57,5.83,46.52,11,13,-2
National Science Foundation,35359,9012,25.49,7.98,45.78,12,9,3
U.S. Department of Energy,8615,2189,25.41,6.15,43.52,13,12,1
National Aeronautics and Space Administration,2292,573,25.0,16.84,51.92,14,3,11
Ministerio de Economía y Competitividad,1863,460,24.69,3.7,50.67,15,20,-5
Ministry of Science and Technology of the People's Republic of China,2501,589,23.55,2.36,43.54,16,25,-9
"Ministry of Education, Culture, Sports, Science and Technology",6802,1592,23.4,3.43,39.83,17,21,-4
Australian Research Council,3513,815,23.2,8.37,47.48,18,11,7
Nederlandse Organisatie voor Wetenschappelijk Onderzoek,6655,1527,22.95,7.83,51.07,19,14,5
Natural Sciences and Engineering Research Council of Canada,8194,1874,22.87,6.21,50.57,20,17,3
Bundesministerium für Bildung und Forschung,8143,1850,22.72,6.61,50.26,21,16,5
National Institutes of Health,100284,22265,22.2,3.8,47.43,22,22,0
European Commission,39396,8675,22.02,6.43,51.47,23,19,4
Medical Research Council,20110,4354,21.65,4.33,49.78,24,24,0
Vetenskapsrådet,8931,1864,20.87,5.12,51.33,25,23,2
China Scholarship Council,4774,924,19.35,3.81,48.58,26,27,-1
European Regional Development Fund,10358,1999,19.3,4.3,57.16,27,26,1
Ministerio de Ciencia e Innovación,9294,1735,18.67,4.45,61.55,28,28,0
Canadian Institutes of Health Research,10293,1814,17.62,3.13,54.88,29,30,-1
National Key Research and Development Program of China,42637,7366,17.28,1.61,42.74,30,33,-3
National Health and Medical Research Council,8247,1402,17.0,2.36,50.56,31,31,0
China Postdoctoral Science Foundation,11703,1957,16.72,1.25,41.05,32,37,-5
Fundamental Research Funds for the Central Universities,12947,2163,16.71,1.78,41.27,33,35,-2
National Natural Science Foundation of China,188890,30748,16.28,1.49,43.98,34,38,-4
Fundação de Amparo à Pesquisa do Estado de São Paulo,5899,937,15.88,3.25,53.26,35,32,3
Russian Science Foundation,4216,665,15.77,2.4,44.95,36,36,0
Engineering and Physical Sciences Research Council,10523,1555,14.78,6.34,57.02,37,29,8
Natural Science Foundation of Jiangsu Province,4988,736,14.76,0.94,42.1,38,42,-4
"Department of Science and Technology, Ministry of Science and Technology, India",2216,326,14.71,1.9,51.67,39,40,-1
Fundação para a Ciência e a Tecnologia,6553,962,14.68,3.91,63.82,40,34,6
Conselho Nacional de Desenvolvimento Científico e Tecnológico,11578,1611,13.91,3.08,55.23,41,39,2
Japan Society for the Promotion of Science,41258,5615,13.61,2.15,46.51,42,41,1
National Research Foundation,14708,1939,13.18,1.89,46.08,43,45,-2
Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,9331,1127,12.08,3.22,56.54,44,44,0
National Institute for Health and Care Research,14755,1778,12.05,3.52,56.81,45,43,2
National Research Foundation of Korea,20733,2264,10.92,1.27,44.7,46,46,0
