funder,total,positives,obs_rate,neg_repo,exposure_raw_pp,rank_observed
Agence Nationale de la Recherche,5997,1778,29.6482,440,7.337,1
Centre National de la Recherche Scientifique,1998,587,29.3794,107,5.3554,2
Swiss National Science Foundation,5600,1599,28.5536,485,8.6607,3
United States Department of Agriculture,4329,1186,27.3966,287,6.6297,4
Austrian Science Fund,1918,518,27.0073,133,6.9343,5
Chinese Academy of Sciences,3993,1074,26.8971,153,3.8317,6
Wellcome Trust,8809,2360,26.7908,564,6.4025,7
Deutsche Forschungsgemeinschaft,14292,3731,26.1055,868,6.0733,8
National Science Foundation,25256,6314,25.0,1898,7.515,9
Department of Energy,5788,1393,24.067,347,5.9952,10
Australian Research Council,1800,430,23.8889,172,9.5556,11
Research Foundation Flanders,1897,451,23.7744,111,5.8513,12
Netherlands Organisation for Scientific Research,3439,812,23.6115,275,7.9965,13
Bundesministerium fur Bildung und Forschung,4579,1068,23.3239,310,6.77,14
Natural Sciences and Engineering Research Council of Canada,5300,1227,23.1509,348,6.566,15
"Ministry of Education, Culture, Sports, Science and Technology",3868,877,22.6732,133,3.4385,16
UK Research and Innovation,21932,4741,21.6168,1357,6.1873,17
European Commission,28782,6159,21.3988,1915,6.6535,18
State Research Agency (Spain),4933,1053,21.346,258,5.2301,19
American Heart Association,1909,402,21.0581,58,3.0382,20
Swedish Research Council,4900,1017,20.7551,250,5.102,21
U.S. Department of Defense,6431,1329,20.6655,342,5.318,22
Research Council of Norway,1950,402,20.6154,150,7.6923,23
China Scholarship Council,3198,656,20.5128,133,4.1588,24
National Institutes of Health,85144,16960,19.9192,3104,3.6456,25
Ministry of Science and Innovation (Spain),4817,917,19.0367,230,4.7748,26
European Regional Development Fund,5962,1129,18.9366,253,4.2435,27
Australian Government,2397,434,18.106,122,5.0897,28
Centers for Disease Control and Prevention,4082,734,17.9814,83,2.0333,29
National Key Research and Development Program,21352,3811,17.8484,354,1.6579,30
Canadian Institutes of Health Research,6111,1062,17.3785,194,3.1746,31
Fundamental Research Funds for the Central Universities,7174,1245,17.3543,132,1.84,32
China Postdoctoral Science Foundation,6130,1063,17.3409,78,1.2724,33
Natural Science Foundation of Guangdong Province,2771,466,16.817,30,1.0826,34
National Health and Medical Research Council,4410,738,16.7347,104,2.3583,35
National Natural Science Foundation of China,95104,15712,16.5209,1443,1.5173,36
Zhejiang Provincial Natural Science Foundation,3349,548,16.3631,29,0.8659,37
Science and Technology Commission of Shanghai Municipality,2544,415,16.3129,31,1.2186,38
Fundacao de Amparo a Pesquisa do Estado de Sao Paulo,3040,493,16.2171,101,3.3224,39
Russian Science Foundation,2157,347,16.0872,54,2.5035,40
U.S. Department of Veterans Affairs,3279,505,15.401,62,1.8908,41
Instituto de Salud Carlos III,3398,518,15.2443,75,2.2072,42
Natural Science Foundation of Jiangsu Province,2526,383,15.1623,24,0.9501,43
Fundacao para a Ciencia e a Tecnologia,3348,501,14.9642,137,4.092,44
"Ministry of Education, India",2067,308,14.9008,55,2.6609,45
Natural Science Foundation of Shandong Province,4170,602,14.4365,40,0.9592,46
Government of Jiangsu Province,4964,709,14.2828,38,0.7655,47
Japan Society for the Promotion of Science,20612,2853,13.8415,456,2.2123,48
National Council for Scientific and Technological Development (CNPq),6728,923,13.7188,212,3.151,49
National Research Foundation,11435,1472,12.8728,210,1.8365,50
National Institute for Health Research,8924,1121,12.5616,321,3.597,51
Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior,6134,731,11.9172,195,3.179,52
National Research Foundation of Korea,10745,1179,10.9725,140,1.3029,53
Pfizer,4381,429,9.7923,84,1.9174,54
"Ministry of Science and ICT, South Korea",6574,614,9.3398,92,1.3995,55
Eli Lilly and Company,2699,227,8.4105,51,1.8896,56
