pmid,entity,entity_kind
38538625,Scientific Data,journal
39467117,Proceedings of the National Academy of Sciences,journal
40215296,Science Advances,journal
38791752,International Journal of Environmental Research and Public Health,journal
38778011,Scientific Data,journal
38773126,Nature Communications,journal
39661682,Science Advances,journal
38987602,Nature,journal
38493221,Scientific Data,journal
40492204,PeerJ,journal
39583043,Ecology and Evolution,journal
40386242,PeerJ,journal
38426139,PeerJ,journal
39636860,Proceedings of the National Academy of Sciences,journal
39671498,Science Advances,journal
39424797,Nature Communications,journal
38892146,International Journal of Molecular Sciences,journal
39747195,Scientific Reports,journal
39475597,Science Advances,journal
39595778,International Journal of Environmental Research and Public Health,journal
40148331,Scientific Data,journal
40124611,PeerJ,journal
39952954,Scientific Data,journal
38737741,PeerJ,journal
38773083,Nature Communications,journal
40184177,Proceedings of the National Academy of Sciences,journal
40203091,Science Advances,journal
39063523,International Journal of Environmental Research and Public Health,journal
38965366,Scientific Reports,journal
39726752,PeerJ,journal
38272940,Scientific Reports,journal
39161623,Ecology and Evolution,journal
38959034,Proceedings of the National Academy of Sciences,journal
40173235,Science Advances,journal
39652750,Proceedings of the National Academy of Sciences,journal
38600132,Nature Communications,journal
40442083,Scientific Data,journal
38799391,Ecology and Evolution,journal
38248543,International Journal of Environmental Research and Public Health,journal
39955295,Scientific Reports,journal
39338144,International Journal of Environmental Research and Public Health,journal
39041014,Ecology and Evolution,journal
40229259,Nature Communications,journal
38706934,Ecology and Evolution,journal
38560467,PeerJ,journal
38605076,Scientific Reports,journal
39695252,Scientific Data,journal
38388559,Scientific Data,journal
39475617,Science Advances,journal
38684006,Proceedings of the National Academy of Sciences,journal
40532016,Science Advances,journal
38263408,Nature Communications,journal
40416619,PeerJ,journal
40249807,Science Advances,journal
38498713,Proceedings of the National Academy of Sciences,journal
38335283,Science Advances,journal
40035762,Proceedings of the National Academy of Sciences,journal
38593077,Proceedings of the National Academy of Sciences,journal
38442166,Proceedings of the National Academy of Sciences,journal
38388522,Scientific Reports,journal
38252830,Proceedings of the National Academy of Sciences,journal
40280936,Scientific Data,journal
38820146,Science Advances,journal
39316055,Proceedings of the National Academy of Sciences,journal
39187534,Scientific Reports,journal
39767547,International Journal of Environmental Research and Public Health,journal
38698927,Ecology and Evolution,journal
38416832,Science Advances,journal
39872902,Ecology and Evolution,journal
40313384,PeerJ,journal
39310729,Ecology and Evolution,journal
39595769,International Journal of Environmental Research and Public Health,journal
40085719,Science Advances,journal
39259791,Science Advances,journal
40008056,Ecology and Evolution,journal
40028195,PeerJ,journal
38495766,PeerJ,journal
38371871,Ecology and Evolution,journal
39493620,Ecology and Evolution,journal
39532896,Scientific Data,journal
39872028,PeerJ,journal
38859887,Ecology and Evolution,journal
39495929,Proceedings of the National Academy of Sciences,journal
39355106,Ecology and Evolution,journal
39813342,Science Advances,journal
39669505,Ecology and Evolution,journal
40397732,Science Advances,journal
39391720,iScience,journal
39893186,Scientific Data,journal
38466844,Proceedings of the National Academy of Sciences,journal
38429500,Scientific Reports,journal
38658675,Scientific Data,journal
38170768,Science Advances,journal
38791755,International Journal of Environmental Research and Public Health,journal
38724591,Scientific Data,journal
39709504,Scientific Data,journal
38924415,Science Advances,journal
38563000,PeerJ,journal
39191780,Scientific Data,journal
39443556,Scientific Reports,journal
38681185,Ecology and Evolution,journal
39548058,Nature Communications,journal
40127271,Proceedings of the National Academy of Sciences,journal
39078681,Proceedings of the National Academy of Sciences,journal
39360125,Ecology and Evolution,journal
38396146,Scientific Data,journal
39108863,Heliyon,journal
38942892,Scientific Reports,journal
40247836,PeerJ,journal
39457346,International Journal of Environmental Research and Public Health,journal
39546597,Science Advances,journal
40163726,Proceedings of the National Academy of Sciences,journal
38315843,Proceedings of the National Academy of Sciences,journal
40061236,PeerJ,journal
38840587,Ecology and Evolution,journal
39003341,Scientific Reports,journal
39700085,PLoS ONE,journal
39793052,Proceedings of the National Academy of Sciences,journal
39908365,Science Advances,journal
40121204,Scientific Data,journal
39905016,Scientific Data,journal
39241070,Science Advances,journal
38499581,Scientific Data,journal
38541375,International Journal of Environmental Research and Public Health,journal
39467121,Proceedings of the National Academy of Sciences,journal
39897484,PeerJ,journal
39799107,Scientific Data,journal
38874424,Advanced Science,journal
40238277,International Journal of Environmental Research and Public Health,journal
39209861,Scientific Data,journal
39097645,Scientific Data,journal
38618561,PeerJ,journal
39042696,Proceedings of the National Academy of Sciences,journal
38879602,Nature Communications,journal
40463892,Ecology and Evolution,journal
39005882,Ecology and Evolution,journal
39052838,Proceedings of the National Academy of Sciences,journal
38680894,PeerJ,journal
38195912,Scientific Reports,journal
39267693,Ecology and Evolution,journal
38502689,Proceedings of the National Academy of Sciences,journal
39421331,Ecology and Evolution,journal
38719891,Scientific Data,journal
38719869,Scientific Data,journal
38848364,Science Advances,journal
40330104,Ecology and Evolution,journal
38632480,Nature,journal
38355745,Scientific Data,journal
38236733,Proceedings of the National Academy of Sciences,journal
39294160,Scientific Data,journal
40333978,Science Advances,journal
39548275,Communications Biology,journal
40312384,Nature Communications,journal
39398634,Ecology and Evolution,journal
38507490,Science Advances,journal
40138406,Science Advances,journal
40057550,Scientific Data,journal
39214994,Scientific Data,journal
39321285,Science Advances,journal
38552024,Science Advances,journal
40003364,International Journal of Environmental Research and Public Health,journal
40199932,Scientific Reports,journal
39048015,Nature,journal
40003409,International Journal of Environmental Research and Public Health,journal
38352202,Ecology and Evolution,journal
39595727,International Journal of Environmental Research and Public Health,journal
40003434,International Journal of Environmental Research and Public Health,journal
40153504,Science Advances,journal
40370343,Ecology and Evolution,journal
38932948,Ecology and Evolution,journal
39652755,Proceedings of the National Academy of Sciences,journal
38181073,Science Advances,journal
39616184,Scientific Data,journal
39450155,Ecology and Evolution,journal
38483991,Proceedings of the National Academy of Sciences,journal
38760418,Scientific Data,journal
39908376,Science Advances,journal
39630904,Science Advances,journal
40057500,Scientific Data,journal
40034665,PeerJ,journal
40124223,Ecology and Evolution,journal
39595784,International Journal of Environmental Research and Public Health,journal
39026542,PeerJ,journal
38245553,Scientific Data,journal
38770122,Ecology and Evolution,journal
38315867,Proceedings of the National Academy of Sciences,journal
40108354,Scientific Reports,journal
40379663,Scientific Data,journal
39122772,Scientific Reports,journal
39264861,PLoS ONE,journal
39942680,Molecules,journal
39352897,PLoS ONE,journal
40164648,Scientific Data,journal
39456921,International Journal of Molecular Sciences,journal
39454011,Science Advances,journal
38903143,Ecology and Evolution,journal
38673361,International Journal of Environmental Research and Public Health,journal
39514651,Science Advances,journal
38436014,PeerJ,journal
40301348,Scientific Data,journal
40003399,International Journal of Environmental Research and Public Health,journal
38649723,Scientific Reports,journal
39131616,PeerJ,journal
39383234,Science Advances,journal
39206455,Ecology and Evolution,journal
39553714,PeerJ,journal
39172761,PLoS ONE,journal
38297013,Scientific Data,journal
38951502,Scientific Data,journal
39048683,Nature,journal
39556739,Proceedings of the National Academy of Sciences,journal
39103380,Scientific Data,journal
40270794,Ecology and Evolution,journal
39767396,International Journal of Environmental Research and Public Health,journal
40106543,Science Advances,journal
38826160,Ecology and Evolution,journal
39857789,Biomedicines,journal
40267205,Science Advances,journal
39041020,Ecology and Evolution,journal
39181910,Scientific Data,journal
39940401,Nutrients,journal
38227657,Proceedings of the National Academy of Sciences,journal
38282868,PeerJ,journal
39290662,Ecology and Evolution,journal
38726378,PeerJ,journal
40247828,PeerJ,journal
39659730,Ecology and Evolution,journal
39165543,Ecology and Evolution,journal
40234441,Nature Communications,journal
40009673,Science Advances,journal
38413603,Nature Communications,journal
38560470,PeerJ,journal
39432793,Proceedings of the National Academy of Sciences,journal
39349446,Nature Communications,journal
39889002,Science Advances,journal
39398629,Ecology and Evolution,journal
39709502,Scientific Data,journal
39312680,Proceedings of the National Academy of Sciences,journal
39643603,Nature Communications,journal
39484208,PeerJ,journal
39372723,PeerJ,journal
38437533,Proceedings of the National Academy of Sciences,journal
40372439,Proceedings of the National Academy of Sciences,journal
38673379,International Journal of Environmental Research and Public Health,journal
38768351,Proceedings of the National Academy of Sciences,journal
39145042,Ecology and Evolution,journal
39198529,Scientific Reports,journal
38557173,Proceedings of the National Academy of Sciences,journal
38553544,Scientific Data,journal
38791852,International Journal of Environmental Research and Public Health,journal
40283776,International Journal of Environmental Research and Public Health,journal
39095466,Scientific Data,journal
38412126,Proceedings of the National Academy of Sciences,journal
39951531,Science Advances,journal
38182574,Nature Communications,journal
38384829,Ecology and Evolution,journal
39076780,PeerJ,journal
40305618,Science Advances,journal
40003466,International Journal of Environmental Research and Public Health,journal
40238435,International Journal of Environmental Research and Public Health,journal
39060425,Scientific Reports,journal
40184465,Science Advances,journal
39301060,PeerJ,journal
39823331,Science Advances,journal
38285937,Proceedings of the National Academy of Sciences,journal
39640562,PeerJ,journal
38549781,PeerJ,journal
39358374,Nature Communications,journal
40330098,Ecology and Evolution,journal
39068189,Scientific Data,journal
40195327,Scientific Data,journal
39008662,Proceedings of the National Academy of Sciences,journal
39338066,International Journal of Environmental Research and Public Health,journal
39224162,Ecology and Evolution,journal
38531902,Nature Communications,journal
38170784,Science Advances,journal
38397648,International Journal of Environmental Research and Public Health,journal
40520645,PeerJ,journal
40367186,Science Advances,journal
40378216,Science Advances,journal
40382363,Scientific Data,journal
38190537,Proceedings of the National Academy of Sciences,journal
39619791,Ecology and Evolution,journal
38500531,PeerJ,journal
38744875,Nature Communications,journal
38743625,Proceedings of the National Academy of Sciences,journal
39602263,Proceedings of the National Academy of Sciences,journal
40043128,Science Advances,journal
40153498,Science Advances,journal
39652754,Proceedings of the National Academy of Sciences,journal
39314839,PeerJ,journal
40050317,Scientific Data,journal
39424833,Nature Communications,journal
39705308,Proceedings of the National Academy of Sciences,journal
38436005,PeerJ,journal
39595754,International Journal of Environmental Research and Public Health,journal
38621118,Proceedings of the National Academy of Sciences,journal
38870057,Proceedings of the National Academy of Sciences,journal
38560451,PeerJ,journal
40099215,Ecology and Evolution,journal
39595723,International Journal of Environmental Research and Public Health,journal
39689173,Proceedings of the National Academy of Sciences,journal
38495760,PeerJ,journal
38857406,Proceedings of the National Academy of Sciences,journal
39970201,Science Advances,journal
40215316,Science Advances,journal
39595735,International Journal of Environmental Research and Public Health,journal
40124622,PeerJ,journal
38909077,Scientific Reports,journal
38818378,Frontiers in Pharmacology,journal
38588432,Proceedings of the National Academy of Sciences,journal
40427925,International Journal of Environmental Research and Public Health,journal
39880946,Nature,journal
38248554,International Journal of Environmental Research and Public Health,journal
39805820,Nature Communications,journal
39247544,PeerJ,journal
38267450,Scientific Data,journal
39263462,Ecology and Evolution,journal
40512743,PLoS ONE,journal
39576351,Proceedings of the National Academy of Sciences,journal
40203098,Science Advances,journal
38774147,Ecology and Evolution,journal
40009574,PLoS ONE,journal
38402264,Scientific Data,journal
39792680,Science Advances,journal
39312660,Proceedings of the National Academy of Sciences,journal
38412128,Proceedings of the National Academy of Sciences,journal
38832045,PeerJ,journal
38177140,Scientific Data,journal
40419541,Scientific Data,journal
39338043,International Journal of Environmental Research and Public Health,journal
40238485,International Journal of Environmental Research and Public Health,journal
39386150,PubMed,journal
38609405,Scientific Data,journal
39360126,Ecology and Evolution,journal
38885385,Proceedings of the National Academy of Sciences,journal
38252814,Proceedings of the National Academy of Sciences,journal
40517157,Scientific Data,journal
39958928,Frontiers in Microbiology,journal
39346044,PeerJ,journal
38990940,Proceedings of the National Academy of Sciences,journal
38696469,Proceedings of the National Academy of Sciences,journal
38950358,Proceedings of the National Academy of Sciences,journal
38248526,International Journal of Environmental Research and Public Health,journal
40231073,PeerJ,journal
40452933,PeerJ,journal
39536077,Proceedings of the National Academy of Sciences,journal
39467133,Proceedings of the National Academy of Sciences,journal
40099213,Ecology and Evolution,journal
38977678,Nature Communications,journal
40519887,Ecology and Evolution,journal
40064916,Scientific Data,journal
38277447,Science Advances,journal
38190515,Proceedings of the National Academy of Sciences,journal
40053589,Science Advances,journal
38489389,Proceedings of the National Academy of Sciences,journal
38909069,Scientific Data,journal
39680769,Proceedings of the National Academy of Sciences,journal
40092899,Ecology and Evolution,journal
38739795,Proceedings of the National Academy of Sciences,journal
40404639,Nature Communications,journal
38799400,Ecology and Evolution,journal
39200709,International Journal of Environmental Research and Public Health,journal
39257881,Ecology and Evolution,journal
40127265,Proceedings of the National Academy of Sciences,journal
39301294,Ecology and Evolution,journal
40003540,International Journal of Environmental Research and Public Health,journal
38983706,Ecology and Evolution,journal
39138206,Scientific Data,journal
39141739,Science Advances,journal
40299703,Proceedings of the National Academy of Sciences,journal
38862479,Nature Communications,journal
39457258,International Journal of Environmental Research and Public Health,journal
40003429,International Journal of Environmental Research and Public Health,journal
39296734,Ecology and Evolution,journal
39889000,Science Advances,journal
39715763,Scientific Data,journal
39457360,International Journal of Environmental Research and Public Health,journal
40544163,Scientific Data,journal
39467116,Proceedings of the National Academy of Sciences,journal
39308812,PeerJ,journal
40473677,Scientific Data,journal
39982990,Science Advances,journal
39355116,Ecology and Evolution,journal
38966246,Ecology and Evolution,journal
38582793,Scientific Data,journal
39063496,International Journal of Environmental Research and Public Health,journal
39788931,Nature Communications,journal
38464752,PeerJ,journal
39951525,Science Advances,journal
39290663,Ecology and Evolution,journal
39270011,Science Advances,journal
38875327,Science Advances,journal
39742494,Science Advances,journal
40399465,Scientific Reports,journal
39063468,International Journal of Environmental Research and Public Health,journal
39829557,ACS Omega,journal
39680787,Proceedings of the National Academy of Sciences,journal
39959831,PeerJ,journal
39903110,Proceedings of the National Academy of Sciences,journal
38724536,Scientific Data,journal
39139916,Ecology and Evolution,journal
39896772,Ecology and Evolution,journal
39899712,Proceedings of the National Academy of Sciences,journal
38239300,PeerJ,journal
40138427,Science Advances,journal
38232172,Science Advances,journal
38228621,Nature Communications,journal
38766489,PeerJ,journal
40283784,International Journal of Environmental Research and Public Health,journal
39730336,Scientific Data,journal
40389432,Nature Communications,journal
39042691,Proceedings of the National Academy of Sciences,journal
39596260,International Journal of Molecular Sciences,journal
38436014,National Natural Science Foundation of China,funder
38632480,National Aeronautics and Space Administration,funder
39703692,Australian Research Council,funder
38181731,European Commission,funder
38825789,Nederlandse Organisatie voor Wetenschappelijk Onderzoek,funder
39548058,Engineering and Physical Sciences Research Council,funder
40396925,Fundação para a Ciência e a Tecnologia,funder
39214994,Natural Environment Research Council,funder
40256447,Agence Nationale de la Recherche,funder
39281887,National Aeronautics and Space Administration,funder
39705308,National Institutes of Health,funder
38701516,Engineering and Physical Sciences Research Council,funder
38617802,Medical Research Council,funder
38328565,European Regional Development Fund,funder
38507490,Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung,funder
39671498,National Institute of General Medical Sciences,funder
39467116,National Natural Science Foundation of China,funder
39976449,Nederlandse Organisatie voor Wetenschappelijk Onderzoek,funder
40379835,Nederlandse Organisatie voor Wetenschappelijk Onderzoek,funder
39952954,National Institutes of Health,funder
39992284,National Aeronautics and Space Administration,funder
40003540,Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,funder
39830270,European Regional Development Fund,funder
39705308,National Cancer Institute,funder
39097645,National Aeronautics and Space Administration,funder
39248308,Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,funder
