entity,total,observed_rate,neg_repo,adjudicated_n,basis,genuine_fraction,exposure_raw_pp,exposure_corrected_pp,rank_observed,rank_phase1_corrected,rank_delta
Scientific Data,2421,77.98,413,61,adjudicated,0.951,17.06,16.22,1,1,0
Communications Biology,2504,61.82,126,1,imputed,0.316,5.03,1.59,2,2,0
Nature Communications,15157,56.96,810,25,adjudicated,0.44,5.34,2.35,3,3,0
iScience,3518,50.97,69,1,imputed,0.316,1.96,0.62,4,4,0
BMC Plant Biology,1983,42.06,18,0,imputed,0.316,0.91,0.29,5,5,0
Frontiers in Microbiology,3967,41.97,45,0,imputed,0.316,1.13,0.36,6,6,0
Nature,2038,33.61,129,5,imputed,0.316,6.33,2.0,7,8,-1
Ecology and Evolution,2326,32.03,529,52,adjudicated,0.173,22.74,3.94,8,7,1
PLoS ONE,24377,23.92,606,6,imputed,0.316,2.49,0.79,9,9,0
Frontiers in Plant Science,3759,23.49,104,0,imputed,0.316,2.77,0.87,10,10,0
Microorganisms,3246,23.14,34,0,imputed,0.316,1.05,0.33,11,11,0
Viruses,2122,20.17,26,0,imputed,0.316,1.23,0.39,12,13,-1
Frontiers in Veterinary Science,2315,19.09,27,0,imputed,0.316,1.17,0.37,13,14,-1
Frontiers in Immunology,6042,17.53,48,0,imputed,0.316,0.79,0.25,14,15,-1
Genes,1850,16.92,17,0,imputed,0.316,0.92,0.29,15,16,-1
Frontiers in Nutrition,2465,16.51,18,0,imputed,0.316,0.73,0.23,16,17,-1
Science Advances,3594,15.86,693,44,adjudicated,0.25,19.28,4.82,17,12,5
Frontiers in Endocrinology,2724,15.09,24,0,imputed,0.316,0.88,0.28,18,18,0
BMC Infectious Diseases,1953,14.7,9,0,imputed,0.316,0.46,0.15,19,20,-1
Scientific Reports,49550,14.47,939,20,adjudicated,0.35,1.9,0.66,20,19,1
BMC Public Health,5187,13.11,37,0,imputed,0.316,0.71,0.23,21,21,0
BMC Cancer,2278,12.6,2,0,imputed,0.316,0.09,0.03,22,23,-1
Chemical Science,3352,12.14,15,0,imputed,0.316,0.45,0.14,23,24,-1
Poultry Science,1824,11.73,13,0,imputed,0.316,0.71,0.23,24,25,-1
PeerJ,2512,11.39,398,49,adjudicated,0.082,15.84,1.29,25,22,3
Frontiers in Pharmacology,3801,10.18,40,1,imputed,0.316,1.05,0.33,26,27,-1
Frontiers in Psychology,4450,10.0,76,0,imputed,0.316,1.71,0.54,27,26,1
Frontiers in Public Health,5618,9.77,72,0,imputed,0.316,1.28,0.4,28,28,0
Cells,1849,9.36,16,0,imputed,0.316,0.87,0.27,29,30,-1
International Journal of Molecular Sciences,14471,9.29,135,2,imputed,0.316,0.93,0.29,30,31,-1
Animals,4855,9.02,67,0,imputed,0.316,1.38,0.44,31,32,-1
Plants,4728,8.54,92,0,imputed,0.316,1.95,0.61,32,33,-1
Proceedings of the National Academy of Sciences,4139,7.8,779,51,adjudicated,0.098,18.82,1.85,33,29,4
Heliyon,16640,7.68,239,1,imputed,0.316,1.44,0.45,34,34,0
Advanced Science,4678,7.42,31,1,imputed,0.316,0.66,0.21,35,35,0
Frontiers in Psychiatry,2407,7.23,25,0,imputed,0.316,1.04,0.33,36,36,0
Frontiers in Cardiovascular Medicine,1835,6.87,12,0,imputed,0.316,0.65,0.21,37,37,0
Frontiers in Medicine,3635,6.52,27,0,imputed,0.316,0.74,0.23,38,38,0
BMC Oral Health,2198,6.46,6,0,imputed,0.316,0.27,0.09,39,39,0
BMC Health Services Research,2205,5.62,16,0,imputed,0.316,0.73,0.23,40,40,0
Frontiers in Oncology,4207,5.42,17,0,imputed,0.316,0.4,0.13,41,41,0
Frontiers in Neurology,2367,5.03,20,0,imputed,0.316,0.84,0.27,42,42,0
Molecules,7176,4.19,55,1,imputed,0.316,0.77,0.24,43,43,0
RSC Advances,6033,3.68,20,0,imputed,0.316,0.33,0.1,44,44,0
BMC Medical Education,2148,3.49,14,0,imputed,0.316,0.65,0.21,45,46,-1
Life,1931,3.47,17,0,imputed,0.316,0.88,0.28,46,45,1
Nutrients,4780,3.24,32,1,imputed,0.316,0.67,0.21,47,48,-1
ACS Omega,5973,3.08,75,1,imputed,0.316,1.26,0.4,48,47,1
Cancers,4187,3.01,31,0,imputed,0.316,0.74,0.23,49,49,0
Medicine,4702,3.0,7,0,imputed,0.316,0.15,0.05,50,51,-1
Biomedicines,3081,2.79,31,1,imputed,0.316,1.01,0.32,51,50,1
Foods,5342,2.77,39,0,imputed,0.316,0.73,0.23,52,52,0
Pharmaceuticals,1909,2.57,17,0,imputed,0.316,0.89,0.28,53,53,0
PubMed,5800,2.26,65,1,imputed,0.316,1.12,0.35,54,54,0
International Journal of Environmental Research and Public Health,2078,1.73,42,41,adjudicated,0.195,2.02,0.39,55,56,-1
BMJ Open,4923,1.63,87,0,imputed,0.316,1.77,0.56,56,55,1
Healthcare,3197,1.47,31,0,imputed,0.316,0.97,0.31,57,57,0
Diagnostics,3460,1.18,31,0,imputed,0.316,0.9,0.28,58,58,0
Medicina,2386,0.75,7,0,imputed,0.316,0.29,0.09,59,61,-2
Sensors,10611,0.74,177,0,imputed,0.316,1.67,0.53,60,59,1
Polymers,4534,0.71,34,0,imputed,0.316,0.75,0.24,61,60,1
Journal of Clinical Medicine,8857,0.56,48,0,imputed,0.316,0.54,0.17,62,62,0
Materials,8166,0.36,42,0,imputed,0.316,0.51,0.16,63,63,0
Nanomaterials,2436,0.33,6,0,imputed,0.316,0.25,0.08,64,64,0
International Journal of Surgery Case Reports,2131,0.28,3,0,imputed,0.316,0.14,0.04,65,67,-2
Micromachines,1830,0.27,5,0,imputed,0.316,0.27,0.09,66,65,1
JAMA Network Open,2805,0.21,12,0,imputed,0.316,0.43,0.14,67,66,1
Cureus,30302,0.15,70,0,imputed,0.316,0.23,0.07,68,69,-1
Radiology Case Reports,1875,0.11,7,0,imputed,0.316,0.37,0.12,69,68,1
