journal,total,positives,obs_rate,neg_repo,adjudicated_n,basis,genuine_fraction,exposure_raw_pp,exposure_corrected_pp,rank_observed,rank_corrected,rank_delta,rank_ceiling,rank_delta_ceiling,low_confidence_mover
Scientific Data,2421,1888,77.9843,413,61,adjudicated,0.9508,17.0591,16.2201,1,1,0,1,0,0
Communications Biology,2503,1548,61.8458,126,1,imputed,0.7079,5.034,3.5635,2,2,0,2,0,0
Nature Communications,15129,8634,57.0692,810,25,adjudicated,0.44,5.354,2.3557,3,3,0,3,0,0
iScience,3514,1793,51.0245,69,1,imputed,0.7079,1.9636,1.39,4,4,0,5,-1,0
Frontiers in Microbiology,3850,1665,43.2468,45,1,imputed,0.7079,1.1688,0.8274,5,6,-1,6,-1,0
BMC Plant Biology,1982,834,42.0787,18,0,imputed,0.7079,0.9082,0.6429,6,7,-1,7,-1,0
Ecology and Evolution,2325,745,32.043,529,59,adjudicated,0.8136,22.7527,18.5107,7,5,2,4,3,0
Frontiers in Plant Science,3649,883,24.1984,104,0,imputed,0.7079,2.8501,2.0176,8,9,-1,10,-2,0
PLoS ONE,24182,5832,24.1171,606,6,imputed,0.7079,2.506,1.774,9,10,-1,12,-3,0
Microorganisms,3132,751,23.9783,34,0,imputed,0.7079,1.0856,0.7685,10,11,-1,13,-3,0
Viruses,2076,428,20.6166,26,0,imputed,0.7079,1.2524,0.8866,11,14,-3,14,-3,0
Frontiers in Veterinary Science,2238,442,19.7498,27,0,imputed,0.7079,1.2064,0.854,12,15,-3,15,-3,0
Frontiers in Immunology,5876,1059,18.0225,48,0,imputed,0.7079,0.8169,0.5783,13,16,-3,16,-3,0
Frontiers in Nutrition,2356,407,17.275,18,0,imputed,0.7079,0.764,0.5408,14,18,-4,18,-4,1
Genes,1815,313,17.2452,17,0,imputed,0.7079,0.9366,0.663,15,17,-2,17,-2,0
Chemical Science,2486,407,16.3717,15,0,imputed,0.7079,0.6034,0.4271,16,19,-3,19,-3,0
Science Advances,3594,570,15.8598,693,62,adjudicated,0.8065,19.2821,15.5501,17,8,9,8,9,0
Frontiers in Endocrinology,2649,411,15.5153,24,0,imputed,0.7079,0.906,0.6414,18,20,-2,20,-2,0
BMC Infectious Diseases,1953,287,14.6953,9,0,imputed,0.7079,0.4608,0.3262,19,22,-3,22,-3,0
Scientific Reports,49520,7168,14.475,939,20,adjudicated,0.35,1.8962,0.6637,20,21,-1,21,-1,0
BMC Public Health,5185,680,13.1148,37,0,imputed,0.7079,0.7136,0.5052,21,23,-2,23,-2,0
BMC Cancer,2277,287,12.6043,2,0,imputed,0.7079,0.0878,0.0622,22,24,-2,24,-2,0
Poultry Science,1824,214,11.7325,13,0,imputed,0.7079,0.7127,0.5045,23,25,-2,25,-2,0
PeerJ,2512,286,11.3854,398,50,adjudicated,0.8,15.8439,12.6752,24,12,12,9,15,0
