pmid,label,access,data_location,accession_or_link,repository_family,evidence_quote,rationale
40425160,false_negative,open,University of Groningen Dataverse,,Dataverse,Data accessibility Data and code are available on University of Groningen Dataverse [ 78 ].,"The Data Accessibility statement explicitly says the newly generated study data (and code) were deposited and are available in a named institutional repository (University of Groningen Dataverse) via a cited reference, with no indication of restricted or on-request access, meeting the open-data criteria even though the specific DOI/accession is only visible in the (unextracted) reference list."
39386150,non_open_data,none,,,,"Here we present a plan for observing the Galactic Plane and circumstellar environments to quantify the physical structure, the magnetic fields, the dynamics, chemistry, star formation, and planetary system evolution of the galaxy in which we live with AtLAST; a concept for a new, 50m single dish sub-mm telescope","This is a forward-looking science-case/concept paper proposing future surveys with a not-yet-built telescope (AtLAST), citing only prior literature and simulations with no new data generated or deposited, so the detector's negative call is correct."
39247544,non_open_data,supplement_only,,,,The raw data are available in the Supplementary File.,"The authors state raw morphological data are provided only as a supplementary file attached to the article, with no deposit in a data repository or accession number, so this does not meet the open data definition."
40419541,false_negative,open,Science Data Bank,https://doi.org/10.57760/sciencedb.24372,Institutional/domain,"The MTDDH dataset16, designed for pelvic X-ray quality assessment and developmental dysplasia of the hip (DDH) diagnosis, is illustrated in Fig. 4 and publicly available via Science Data Bank.","The article is a data descriptor whose newly generated MTDDH pelvic X-ray dataset (1,250 + 906 annotated images) was deposited in the Science Data Bank repository with a resolvable DOI (10.57760/sciencedb.24372) and is explicitly described as publicly available, meeting all three open-data criteria."
39709504,false_negative,open,Arctic Data Center (Norwegian Meteorological Institute),https://doi.org/10.21343/w2se-b681,Institutional/domain,Te data for each deployment included in the present dataset are made available with a doi53 as netCDF-CF fles on the Arctic Data Center hosted by the Norwegian Meteorological Institute at the following URL: https://adc.met.no/datasets/10.21343/w2se-b681.,"This is a Scientific Data descriptor for 79 newly collected OpenMetBuoy GNSS/wave-spectra trajectories, deposited as netCDF files with a DOI (and per-deployment DOIs in Table 3) on the Arctic Data Center with no access restriction stated, so it meets all three open-data criteria and the detector's negative call is a miss."
39933591,unclear,unclear,,,,Data accessibility All data and code used in this publication are available at [ 21 ].,"The article states data and code are available but only cites a numbered reference [21] whose actual URL/DOI/repository identity is not present in the extracted text, so openness and accession cannot be verified from the provided text; also this is a purely computational/modelling paper with no described wet-lab data generation, only simulation code and outputs."
39360126,false_negative,open,Dryad Digital Repository,https://doi.org/10.5061/dryad.59zw3r2h6,Dryad,The data and code used in this study are available on the Dryad Digital Repository (https://doi.org/10.5061/dryad.59zw3r2h6).,"The authors deposited their newly generated data (sex ratio, GSI, clutch/egg size measurements) in the Dryad repository with a resolvable DOI and no stated access restriction, meeting all three open-data criteria, so the detector's negative call is a false negative."
39678357,false_negative,open,Zenodo,"Zenodo repository, cited as Rajšić (2024) in the Data Availability Statement (no DOI/URL string printed in the extracted text, but a specific Zenodo deposit is identified via citation)",Zenodo,Input files used in simulations presented in this work are available at the Zenodo repository: Raj i ( 2024 ).,"The authors deposited the input files needed to reproduce their simulations (data they generated for this study) in a named, citable Zenodo repository presented as openly accessible, distinct from the separately-restricted iSALE code itself, so this meets the open-data criteria the detector missed."
39043234,non_open_data,code_only,,,,Data accessibility R code is available on Zenodo [58]. Supplementary material is available online [59].,"This is a theoretical/modeling study with no newly generated empirical dataset; only the R code implementing the model is deposited on Zenodo, with supplementary material hosted alongside the article, so no open data deposit qualifies."
39700085,false_negative,open,4TU.ResearchData,doi.org/10.4121/77363d00-f68c-4da7-b32e-3aabe957ef98,Institutional/domain,Data Availability Statement: The corresponding CAD files and PCB schematic for this publication can be found here: doi.org/10.4121/77363d00-f68c-4da7-b32e-3aabe957ef98.,"The authors deposited their newly generated CAD design files and PCB schematic in the 4TU.ResearchData institutional repository with a resolvable DOI, presented without any access restriction, so this meets the open-data deposit+accession+open-access criteria that the detector missed."
