pmid,pmcid,doi,oddpub_category,text_source,char_len
37986723,PMC10659454,10.1038/s41597-025-04743-0,"supplement, github, unknown/misspecified source",mineru_md,44380
38167392,PMC10762041,10.1038/s41597-023-02751-6,unknown/misspecified source,mineru_md,80021
38167500,PMC10762209,10.1038/s41597-023-02857-x,"github, unknown/misspecified source",mineru_md,57343
38167852,PMC10761691,10.1038/s41597-023-02831-7,unknown/misspecified source,mineru_md,79498
38177140,PMC10767084,10.1038/s41597-023-02836-2,,mineru_md,24532
38177174,PMC10767078,10.1038/s41597-023-02874-w,supplement,mineru_md,23465
38182590,PMC10770399,10.1038/s41597-023-02859-9,upon request,mineru_md,45433
38182596,PMC10770343,10.1038/s41597-023-02733-8,unknown/misspecified source,mineru_md,80021
38182605,PMC10770365,10.1038/s41597-023-02863-z,unknown/misspecified source,mineru_md,56306
38191576,PMC10774419,10.1038/s41597-023-02824-6,,mineru_md,40275
38191626,PMC10774304,10.1038/s41597-023-02796-7,,mineru_md,28971
38195581,PMC10776779,10.1038/s41597-023-02835-3,,mineru_md,80021
38195633,PMC10776752,10.1038/s41597-023-02867-9,upon request,mineru_md,33905
38195635,PMC10776700,10.1038/s41597-023-02902-9,,mineru_md,80021
38199998,PMC10781961,10.1038/s41597-023-02875-9,,mineru_md,54569
38212343,PMC10784550,10.1038/s41597-023-02855-z,"github, unknown/misspecified source",mineru_md,62340
38216580,PMC10786896,10.1038/s41597-023-02616-y,"supplement, unknown/misspecified source",mineru_md,80021
38228610,PMC10791632,10.1038/s41597-024-02918-9,github,mineru_md,46732
38228620,PMC10791624,10.1038/s41597-024-02915-y,re-use,mineru_md,50164
38228642,PMC10791647,10.1038/s41597-024-02935-8,"supplement, unknown/misspecified source",mineru_md,56604
38233444,PMC10794220,10.1038/s41597-023-02691-1,supplement,mineru_md,34227
38233447,PMC10794705,10.1038/s41597-023-02877-7,"supplement, re-use, github",mineru_md,80021
38238331,PMC10796766,10.1038/s41597-024-02928-7,"supplement, unknown/misspecified source",mineru_md,48311
38238342,PMC10796636,10.1038/s41597-024-02943-8,supplement,mineru_md,56477
38242910,PMC10798971,10.1038/s41597-024-02951-8,"unknown/misspecified source, supplement, upon request",mineru_md,38098
38242920,PMC10799005,10.1038/s41597-023-02896-4,github,mineru_md,71078
38245553,PMC10799940,10.1038/s41597-024-02932-x,github,mineru_md,58711
38245566,PMC10799908,10.1038/s41597-024-02917-w,,mineru_md,71980
