pmid,oddpub_category,text_source,label,access,data_location,accession_or_link,evidence_quote,rationale
37986723,"supplement, github, unknown/misspecified source",mineru_md,non_open_data,upon_request_or_restricted,brainlife.io (data publication platform),https://doi.org/10.25663/brainlife.pub.61 (data); https://doi.org/10.25663/brainlife.pub.55 (brain masks),"Access to the dataset is granted on a 'controlled access' basis. Users will be fully identified and authenticated. ... data protection measures such as pseudonymization, access control, and Data Use Agreement (DUA) have been developed and utilized. Users are required to agree to the DUA before accessing the data.","Although the authors deposited newly generated MRI data with DOIs on brainlife.io, access is explicitly gated behind authentication and a mandatory Data Use Agreement, so the data are not openly accessible, making this a legitimate detector negative (controlled/restricted access), not a false negative."
38167392,unknown/misspecified source,mineru_md,false_negative,open,Recherche Data Gouv (French national research data repository),https://doi.org/10.57745/XZTW7Z,"""The scripts of the modelling approach described in this paper was made available at recherche.data.gouv.fr. Our code is available within the GPASOIL_scripts.tgz file along the tgz file that contain the GPASOIL-v1.0 and GPASOIL-v1.1 soil P pools."" / Ref 57: ""Ringeval, B. GPASOIL-v1, a global dataset on phosphorus in agricultural soils. Recherche Data Gouv. https://doi.org/10.57745/XZTW7Z (2023).""","The authors deposited their newly generated global gridded soil-phosphorus dataset (GPASOIL-v1.0/v1.1, the study's own data product) at the Recherche Data Gouv repository with a persistent DOI, and the article is itself CC-BY open access with no indication of access restriction, so the detector's negative call is a miss."
38167500,"github, unknown/misspecified source",mineru_md,false_negative,open,CSIRO Data Portal,https://doi.org/10.25919/7mkz-3928; https://doi.org/10.25919/10h0-yf37; https://doi.org/10.25919/sfw7-hc46,"The EAC gridded products (Table 2) are published at the CSIRO Data Portal (https://doi.org/10.25919/7mkz-3928, https://doi.org/10.25919/10h0-yf37 and https://doi.org/10.25919/sfw7-hc46).","The authors created and deposited three newly generated gridded EAC mooring data products in the CSIRO Data Portal repository, each with its own DOI and openly accessible netCDF files, satisfying all three open-data criteria."
38167852,unknown/misspecified source,mineru_md,false_negative,open,Data INRAE repository (Recherche Data Gouv institutional repository),https://doi.org/10.57745/HV33V1,"Te data are accessible on the Data INRAE repository, available at https://doi.org/10.57745/HV33V1. It includes the following fles: 1. ""Database.csv"" ... 2. ""Database.xlsx"" ... 3. ""Summary of the database.csv"" ... The dataset is freely reusable and easy to update.","The authors deposited their newly compiled global intercropping/agroforestry dataset (manually extracted and synthesized from 191 published articles, 1544 treatment rows, 45 variables) in the Data INRAE institutional repository with a persistent DOI, and the article states it is freely accessible and reusable, so this is a genuine open data deposit that the detector missed."
38177140,,mineru_md,false_negative,open,NPS DataStore Project (Integrated Resource Management Applications Portal),https://doi.org/10.57830/2301647,The final verified dataset has been deposited as a publicly available NPS DataStore Project under the Integrated Resource Management Applications Portal (https://doi.org/10.57830/2301647).,"The authors compiled/verified a new national-scale amphibian occurrence dataset and deposited it as a single CSV file in the NPS DataStore repository with a resolvable DOI, described explicitly as publicly available, satisfying all three open-data criteria."
38177174,supplement,mineru_md,false_negative,open,DataONE Research Workspace (RW) member node; also United States Animal Telemetry Network (ATN) Data Assembly Center portal,https://doi.org/10.24431/rw1k7du,"Full data records and metadata from the 45 tags deployed on Mobula spp. from 2004–2014, as well as an ISO 19115 metadata record with geospatial data, are publicly available through the Research Workspace (RW) Data Observation Network for Earth (DataONE) member node (https://search.dataone.org/portals/RW) as well as the ATN data portal ... Tese data have a standalone, upstream Digital Objective Identifer (https://doi.org/10.24431/rw1k7du) specifc to the dataset itself9 and a standard CC-BY licens","The authors deposited newly generated biologging (PAT tag) data in the DataONE Research Workspace repository with a persistent DOI and a CC-BY open license with no access restrictions, satisfying all three open-data criteria, so the detector's negative call is a false negative."
38182590,upon request,mineru_md,non_open_data,upon_request_or_restricted,Restricted-access FSRDC (Federal Statistical Research Data Center) data warehouse,,"""the data is available in the data warehouse within the FSRDC system for use in approved projects vetted through a standardized application process24... Users of the data must request access to both the appropriate census microdata and the OSCILAT data.""","The OSCILAT dataset resides only in the restricted-access FSRDC system, requiring a formal application and Census Bureau approval, with no public repository deposit, accession number, or open-access URL, so it fails the openly-accessible criterion."
38182596,unknown/misspecified source,mineru_md,false_negative,open,"World Data Center for Climate (WDCC), Deutsches Klimarechenzentrum, Hamburg",https://doi.org/10.26050/WDCC/ModE-RA_s14203-18501 ; https://doi.org/10.26050/WDCC/ModE-RAc_s14203-18501,"ModE-RA (ensemble members and statistics) and ModE-RAclim (ensemble statistics) are uploaded to NOAA and to the World Data Center for Climate (WDCC) at Deutsches Klimarechenzentrum in Hamburg, Germany (https://doi.org/10.26050/WDCC/ModE-RA_s14203-18501 and https://doi.org/10.26050/WDCC/ModE-RAc_s14203-18501)","The authors deposited their newly generated paleo-reanalysis dataset (ModE-RA and ModE-RAclim, plus the observation feedback archive) in the WDCC repository with persistent DOI links that are openly accessible, satisfying all three open-data criteria despite the detector's negative call."
38182605,unknown/misspecified source,mineru_md,false_negative,open,GFZ Data Services (GFZ German Research Centre for Geosciences data repository),https://doi.org/10.5880/pik.2023.001,"""The BASD-CMIP6-PE dataset54 is freely available under the CC BY 4.0 license at https://doi.org/10.5880/pik.2023.001.""","The authors generated a new bias-adjusted, statistically downscaled CMIP6 climate dataset (BASD-CMIP6-PE) and deposited it in the GFZ Data Services repository with a resolvable DOI under an open CC BY 4.0 license, satisfying all three open-data criteria, so the detector's negative call is a miss."
38191576,,mineru_md,false_negative,open,"IMAS Data Repository, University of Tasmania",https://doi.org/10.25959/MNGY-0Q43,"Data records include time series of fishing capacity and effort, by country, mapped effort and conversion factors, and can be accessed at https://doi.org/10.25959/MNGY-0Q43... The data is published under a Creative Common Licence, and can be used by anyone with proper citation.","The authors deposited their newly generated Global Fishing Effort database in the IMAS data repository (University of Tasmania) with a resolvable DOI and an open Creative Commons license, satisfying all three open-data criteria, so the detector's negative call is a false negative."
