funder_name,n_articles_total,n_articles_pdf,pdf_coverage_pct,observed_rate,observed_ci_low,observed_ci_high,corrected_rate,corrected_ci_low,corrected_ci_high,rank_observed,rank_corrected,rank_delta
Swiss National Science Foundation,5600,2076,37.1,22.6,21.5,23.7,26.0,25.49877,26.616174,4,1,3
Agence Nationale de la Recherche,5997,2191,36.5,24.4,23.3,25.5,25.7,25.148111,26.365447,1,2,-1
Chinese Academy of Sciences,3993,1510,37.8,22.7,21.4,24.0,25.4,24.586301,26.418913,3,3,0
Centre National de la Recherche Scientifique,1998,742,37.1,24.4,22.6,26.4,24.9,24.424424,25.538312,1,4,-3
United States Department of Agriculture,4329,1269,29.3,21.7,20.5,23.0,24.5,23.591199,25.504343,6,5,1
Wellcome Trust,8809,2646,30.0,22.1,21.3,23.0,24.4,23.841633,24.940813,5,6,-1
Austrian Science Fund,1918,678,35.3,22.8,21.0,24.7,23.9,23.436775,24.446023,2,7,-5
Deutsche Forschungsgemeinschaft,14292,5164,36.1,21.3,20.7,22.0,23.4,22.84367,24.075191,7,8,-1
"Ministry of Education, Culture, Sports, Science and Technology",3868,1510,39.0,18.6,17.4,19.9,23.4,22.893058,23.903282,13,8,5
National Science Foundation,25256,8211,32.5,20.3,19.9,20.8,22.8,22.343648,23.441308,8,9,-1
Research Foundation Flanders,1897,681,35.9,20.2,18.5,22.1,22.3,21.66598,23.068688,9,10,-1
Department of Energy,5788,2092,36.1,20.1,19.1,21.2,22.2,21.904141,22.575215,10,11,-1
Netherlands Organisation for Scientific Research,3439,1032,30.0,19.3,18.1,20.7,22.2,21.797814,22.687056,11,11,0
Bundesministerium fur Bildung und Forschung,4579,1698,37.1,19.0,17.8,20.1,21.9,21.346781,22.585048,12,12,0
UK Research and Innovation,21932,6868,31.3,17.6,17.1,18.1,21.4,20.909521,21.94153,18,13,5
Australian Research Council,1800,509,28.3,18.2,16.5,20.1,21.1,20.462342,21.919158,15,14,1
Swedish Research Council,4900,1603,32.7,16.7,15.7,17.8,20.9,20.342841,21.615695,22,15,7
Natural Sciences and Engineering Research Council of Canada,5300,1614,30.5,17.9,16.9,18.9,20.5,19.861978,21.212314,17,16,1
