canonical_name,variant,variant_type,country,parent_funder,variant_count,merged_count,selection_method,discovery_method,funder_type,openalex_id,openalex_name,openalex_country,openalex_works_count,validation_status
National Natural Science Foundation of China,National Natural Science Foundation,alias,China,,89214,99618,weibull_2.0x+openalex,ner_pipeline,government,F4320321001,National Natural Science Foundation of China,CN,3062114.0,explicit_alias
National Natural Science Foundation of China,NSFC,acronym,China,,7224,99618,weibull_2.0x+openalex,ner_pipeline,government,F4320321001,National Natural Science Foundation of China,CN,3062114.0,explicit_alias
National Natural Science Foundation of China,grants from the National Natural Science Foundation,alias,China,,2593,99618,weibull_2.0x+openalex,ner_pipeline,government,F4320321001,National Natural Science Foundation of China,CN,3062114.0,explicit_alias
National Natural Science Foundation of China,Chinese National Natural Science Foundation,fuzzy,China,,370,99618,weibull_2.0x+openalex,ner_pipeline,government,F4320321001,National Natural Science Foundation of China,CN,3062114.0,explicit_alias
National Natural Science Foundation of China,China National Natural Science Foundation,fuzzy,China,,85,99618,weibull_2.0x+openalex,ner_pipeline,government,F4320321001,National Natural Science Foundation of China,CN,3062114.0,explicit_alias
National Natural Science Foundation of China,National Natural Science Foundation of China,primary,China,,60,99618,weibull_2.0x+openalex,ner_pipeline,government,F4320321001,National Natural Science Foundation of China,CN,3062114.0,explicit_alias
National Natural Science Foundation of China,Grants from the National Natural Science Foundation,alias,China,,47,99618,weibull_2.0x+openalex,ner_pipeline,government,F4320321001,National Natural Science Foundation of China,CN,3062114.0,explicit_alias
National Natural Science Foundation of China,NNSFC,acronym,China,,25,99618,weibull_2.0x+openalex,ner_pipeline,government,F4320321001,National Natural Science Foundation of China,CN,3062114.0,explicit_alias
National Natural Science Foundation of China,Natural Science Foundation of China,alias_manual,China,,0,99618,weibull_2.0x+openalex,ner_pipeline,government,F4320321001,National Natural Science Foundation of China,CN,3062114.0,explicit_alias
National Institutes of Health,NIH,acronym,USA,,71044,71361,weibull_2.0x+openalex,ner_pipeline,government,F4320332161,National Institutes of Health,US,817795.0,explicit_alias
National Institutes of Health,National Institutes of Health,primary,USA,,167,71361,weibull_2.0x+openalex,ner_pipeline,government,F4320332161,National Institutes of Health,US,817795.0,explicit_alias
National Institutes of Health,Health National Institute,fuzzy,USA,,150,71361,weibull_2.0x+openalex,ner_pipeline,government,F4320332161,National Institutes of Health,US,817795.0,explicit_alias
National Science Foundation,National Science Foundation,primary,USA,,30741,46521,weibull_2.0x+openalex,ner_pipeline,government,F4320306076,National Science Foundation,US,914135.0,explicit_alias
National Science Foundation,NSF,acronym,USA,,14825,46521,weibull_2.0x+openalex,ner_pipeline,government,F4320306076,National Science Foundation,US,914135.0,explicit_alias
National Science Foundation,a National Science Foundation,fuzzy,USA,,365,46521,weibull_2.0x+openalex,ner_pipeline,government,F4320306076,National Science Foundation,US,914135.0,explicit_alias
