child_canonical_name,child_funder_id,child_ror,child_types,child_articles,parent_canonical_name,parent_funder_id,parent_ror
National Institute for Occupational Safety and Health,F4320337382,0502a2655,facility|funder,270,Centers for Disease Control and Prevention,F4320332162,042twtr12
National Center for Chronic Disease Prevention and Health Promotion,F4320337383,021rths28,facility|funder,215,Centers for Disease Control and Prevention,F4320332162,042twtr12
National Center for Immunization and Respiratory Diseases,F4320337421,05je2tx78,facility|funder,53,Centers for Disease Control and Prevention,F4320332162,042twtr12
Agency for Toxic Substances and Disease Registry,F4320337419,0045x2741,funder|healthcare,46,Centers for Disease Control and Prevention,F4320332162,042twtr12
National Center for Injury Prevention and Control,F4320337417,0015x1k58,funder|other,39,Centers for Disease Control and Prevention,F4320332162,042twtr12
President's Malaria Initiative,F4320334467,012rb2c33,funder|other,37,Centers for Disease Control and Prevention,F4320332162,042twtr12
"National Center for HIV/AIDS, Viral Hepatitis, STD, and TB Prevention",F4320337422,01wjn2x92,facility|funder,23,Centers for Disease Control and Prevention,F4320332162,042twtr12
National Center on Birth Defects and Developmental Disabilities,F4320337467,021asz590,facility|funder,13,Centers for Disease Control and Prevention,F4320332162,042twtr12
National Center for Health Statistics,F4320337424,03p15s250,funder|other,11,Centers for Disease Control and Prevention,F4320332162,042twtr12
Center for Global Health,F4320337470,02e5dc168,funder|government,8,Centers for Disease Control and Prevention,F4320332162,042twtr12
"Center for Surveillance, Epidemiology, and Laboratory Services",F4320337745,05xte6x19,facility|funder,3,Centers for Disease Control and Prevention,F4320332162,042twtr12
National Center for Environmental Health,F4320337420,00jc2kw33,facility|funder,3,Centers for Disease Control and Prevention,F4320332162,042twtr12
"Division of Preparedness and Emerging Infections, National Center for Emerging and Zoonotic Infectious Diseases",F4320309143,02ggwpx62,facility|funder,1,Centers for Disease Control and Prevention,F4320332162,042twtr12
Office of Public Health Preparedness and Response,F4320337413,00sdb8f83,funder|healthcare,1,Centers for Disease Control and Prevention,F4320332162,042twtr12
Deutsches Krebsforschungszentrum,F4320310693,04cdgtt98,facility|funder,394,Helmholtz Association,F4320325698,0281dp749
Deutsches Elektronen-Synchrotron,F4320334759,01js2sh04,facility|funder,315,Helmholtz Association,F4320325698,0281dp749
Deutsches Zentrum für Neurodegenerative Erkrankungen,F4320323170,043j0f473,facility|funder,153,Helmholtz Association,F4320325698,0281dp749
Helmholtz-Gemeinschaft,F4320320876,0281dp749,funder|government,105,Helmholtz Association,F4320325698,0281dp749
Helmholtz Zentrum München,F4320336029,00cfam450,facility|funder,103,Helmholtz Association,F4320325698,0281dp749
Forschungszentrum Jülich,F4320321752,02nv7yv05,facility|funder,98,Helmholtz Association,F4320325698,0281dp749
Helmholtz-Zentrum Berlin für Materialien und Energie,F4320333421,02aj13c28,facility|funder,85,Helmholtz Association,F4320325698,0281dp749
